,NO1,Date
0,56.9986992,2013-01-01 01:00:00
1,39.4326172,2013-01-01 02:00:00
2,77.0234375,2013-01-01 03:00:00
3,77.0234375,2013-01-01 04:00:00
4,77.0234375,2013-01-01 05:00:00
5,77.0234375,2013-01-01 06:00:00
6,77.0234375,2013-01-01 07:00:00
7,77.0234375,2013-01-01 08:00:00
8,77.0234375,2013-01-01 09:00:00
9,77.0234375,2013-01-01 10:00:00
10,38.8012695,2013-01-01 11:00:00
11,29.3713379,2013-01-01 12:00:00
12,34.4739571,2013-01-01 13:00:00
13,27.795084,2013-01-01 14:00:00
14,26.0100098,2013-01-01 15:00:00
15,16.6708984,2013-01-01 16:00:00
16,18.0829258,2013-01-01 17:00:00
17,20.9418945,2013-01-01 18:00:00
18,56.2128906,2013-01-01 19:00:00
19,73.5834961,2013-01-01 20:00:00
20,66.4453125,2013-01-01 21:00:00
21,66.4453125,2013-01-01 22:00:00
22,66.4453125,2013-01-01 23:00:00
23,66.4453125,2013-01-02 00:00:00
24,66.4453125,2013-01-02 01:00:00
25,66.4453125,2013-01-02 02:00:00
26,66.4453125,2013-01-02 03:00:00
27,66.4453125,2013-01-02 04:00:00
28,66.4453125,2013-01-02 05:00:00
29,66.4453125,2013-01-02 06:00:00
30,66.4453125,2013-01-02 07:00:00
31,66.4453125,2013-01-02 08:00:00
32,66.4453125,2013-01-02 09:00:00
33,66.4453125,2013-01-02 10:00:00
34,66.4453125,2013-01-02 11:00:00
35,28.4487305,2013-01-02 12:00:00
36,23.0681152,2013-01-02 13:00:00
37,25.2050781,2013-01-02 14:00:00
38,22.2742519,2013-01-02 15:00:00
39,9.77685547,2013-01-02 16:00:00
40,20.5535488,2013-01-02 17:00:00
41,62.8149414,2013-01-02 18:00:00
42,46.5605469,2013-01-02 19:00:00
43,18.7815552,2013-01-02 20:00:00
44,29.0540371,2013-01-02 21:00:00
45,29.0540371,2013-01-02 22:00:00
46,50.5449219,2013-01-02 23:00:00
47,50.3792305,2013-01-03 00:00:00
48,18.0951328,2013-01-03 01:00:00
49,28.121582,2013-01-03 02:00:00
50,28.121582,2013-01-03 03:00:00
51,28.121582,2013-01-03 04:00:00
52,28.121582,2013-01-03 05:00:00
53,28.121582,2013-01-03 06:00:00
54,20.6340332,2013-01-03 07:00:00
55,20.487793,2013-01-03 08:00:00
56,19.0734863,2013-01-03 09:00:00
57,28.9904785,2013-01-03 10:00:00
58,29.1914063,2013-01-03 11:00:00
59,21.5830078,2013-01-03 12:00:00
60,21.7486973,2013-01-03 13:00:00
61,25.9907227,2013-01-03 14:00:00
62,21.9648438,2013-01-03 15:00:00
63,28.036377,2013-01-03 16:00:00
64,30.4977207,2013-01-03 17:00:00
65,19.7867832,2013-01-03 18:00:00
66,50.0874023,2013-01-03 19:00:00
67,103.09375,2013-01-03 20:00:00
68,153.214844,2013-01-03 21:00:00
69,153.214844,2013-01-03 22:00:00
70,153.214844,2013-01-03 23:00:00
71,153.214844,2013-01-04 00:00:00
72,153.214844,2013-01-04 01:00:00
73,153.214844,2013-01-04 02:00:00
74,153.214844,2013-01-04 03:00:00
75,153.214844,2013-01-04 04:00:00
76,153.214844,2013-01-04 05:00:00
77,153.214844,2013-01-04 06:00:00
78,153.214844,2013-01-04 07:00:00
79,153.214844,2013-01-04 08:00:00
80,153.214844,2013-01-04 09:00:00
81,153.214844,2013-01-04 10:00:00
82,153.214844,2013-01-04 11:00:00
83,153.214844,2013-01-04 12:00:00
84,29.6428223,2013-01-04 13:00:00
85,20.9832363,2013-01-04 14:00:00
86,22.7270508,2013-01-04 15:00:00
87,26.3165684,2013-01-04 16:00:00
88,25.2423496,2013-01-04 17:00:00
89,53.0107422,2013-01-04 18:00:00
90,52.9329414,2013-01-04 19:00:00
91,59.5566406,2013-01-04 20:00:00
92,59.5566406,2013-01-04 21:00:00
93,59.5566406,2013-01-04 22:00:00
94,59.5566406,2013-01-04 23:00:00
95,59.5566406,2013-01-05 00:00:00
96,59.5566406,2013-01-05 01:00:00
97,59.5566406,2013-01-05 02:00:00
98,59.5566406,2013-01-05 03:00:00
99,59.5566406,2013-01-05 04:00:00
100,59.5566406,2013-01-05 05:00:00
101,7.07269287,2013-01-05 06:00:00
102,26.3916016,2013-01-05 07:00:00
103,13.3065596,2013-01-05 08:00:00
104,19.7092285,2013-01-05 09:00:00
105,24.2792969,2013-01-05 10:00:00
106,23.9050293,2013-01-05 11:00:00
107,21.5115566,2013-01-05 12:00:00
108,22.1035156,2013-01-05 13:00:00
109,23.388916,2013-01-05 14:00:00
110,21.7529297,2013-01-05 15:00:00
111,20.8300781,2013-01-05 16:00:00
112,17.2698975,2013-01-05 17:00:00
113,21.1621094,2013-01-05 18:00:00
114,44.1705742,2013-01-05 19:00:00
115,109.082031,2013-01-05 20:00:00
116,98.7353516,2013-01-05 21:00:00
117,68.6835938,2013-01-05 22:00:00
118,108.425781,2013-01-05 23:00:00
119,108.425781,2013-01-06 00:00:00
120,108.425781,2013-01-06 01:00:00
121,108.425781,2013-01-06 02:00:00
122,37.0473633,2013-01-06 03:00:00
123,13.9453125,2013-01-06 04:00:00
124,14.2174482,2013-01-06 05:00:00
125,14.8910322,2013-01-06 06:00:00
126,20.4102783,2013-01-06 07:00:00
127,14.8352861,2013-01-06 08:00:00
128,26.1977539,2013-01-06 09:00:00
129,25.895752,2013-01-06 10:00:00
130,22.2895508,2013-01-06 11:00:00
131,20.7067051,2013-01-06 12:00:00
132,20.4267578,2013-01-06 13:00:00
133,21.2910156,2013-01-06 14:00:00
134,18.8699551,2013-01-06 15:00:00
135,21.0732422,2013-01-06 16:00:00
136,13.6207685,2013-01-06 17:00:00
137,36.5820313,2013-01-06 18:00:00
138,24.3359375,2013-01-06 19:00:00
139,73.977211,2013-01-06 20:00:00
140,204.148438,2013-01-06 21:00:00
141,204.148438,2013-01-06 22:00:00
142,204.148438,2013-01-06 23:00:00
143,204.148438,2013-01-07 00:00:00
0,37.9838867,2013-01-07 01:00:00
1,18.4626865,2013-01-07 02:00:00
2,56.4308281,2013-01-07 03:00:00
3,31.6506348,2013-01-07 04:00:00
4,31.6506348,2013-01-07 05:00:00
5,31.6506348,2013-01-07 06:00:00
6,31.6506348,2013-01-07 07:00:00
7,31.6506348,2013-01-07 08:00:00
8,31.6506348,2013-01-07 09:00:00
9,17.4083252,2013-01-07 10:00:00
10,25.0916348,2013-01-07 11:00:00
11,20.4555664,2013-01-07 12:00:00
12,26.6396484,2013-01-07 13:00:00
13,18.4174805,2013-01-07 14:00:00
14,18.1451817,2013-01-07 15:00:00
15,19.3687344,2013-01-07 16:00:00
16,17.1890869,2013-01-07 17:00:00
17,17.7994785,2013-01-07 18:00:00
18,19.6176758,2013-01-07 19:00:00
19,20.9637051,2013-01-07 20:00:00
20,23.034668,2013-01-07 21:00:00
21,43.7207031,2013-01-07 22:00:00
22,26.8595371,2013-01-07 23:00:00
23,45.5947266,2013-01-08 00:00:00
24,42.0665703,2013-01-08 01:00:00
25,43.638916,2013-01-08 02:00:00
26,43.638916,2013-01-08 03:00:00
27,43.638916,2013-01-08 04:00:00
28,43.638916,2013-01-08 05:00:00
29,43.638916,2013-01-08 06:00:00
30,27.1079102,2013-01-08 07:00:00
31,22.4523926,2013-01-08 08:00:00
32,19.6724854,2013-01-08 09:00:00
33,29.6313477,2013-01-08 10:00:00
34,24.0480957,2013-01-08 11:00:00
35,15.9147139,2013-01-08 12:00:00
36,15.1088867,2013-01-08 13:00:00
37,14.5302734,2013-01-08 14:00:00
38,14.9364014,2013-01-08 15:00:00
39,18.1945801,2013-01-08 16:00:00
40,15.2719727,2013-01-08 17:00:00
41,28.0286465,2013-01-08 18:00:00
42,22.5913086,2013-01-08 19:00:00
43,30.7451172,2013-01-08 20:00:00
44,23.4708652,2013-01-08 21:00:00
45,18.9887695,2013-01-08 22:00:00
46,56.8675117,2013-01-08 23:00:00
47,44.8710938,2013-01-09 00:00:00
48,49.2207031,2013-01-09 01:00:00
49,57.4731445,2013-01-09 02:00:00
50,33.4526367,2013-01-09 03:00:00
51,30.3058262,2013-01-09 04:00:00
52,49.7133789,2013-01-09 05:00:00
53,58.5771484,2013-01-09 06:00:00
54,51.7854805,2013-01-09 07:00:00
55,28.529541,2013-01-09 08:00:00
56,30.3435059,2013-01-09 09:00:00
57,33.3621407,2013-01-09 10:00:00
58,23.3474121,2013-01-09 11:00:00
59,16.8116055,2013-01-09 12:00:00
60,16.7568359,2013-01-09 13:00:00
61,11.3325605,2013-01-09 14:00:00
62,17.5620117,2013-01-09 15:00:00
63,14.3514404,2013-01-09 16:00:00
64,15.9977217,2013-01-09 17:00:00
65,23.0441895,2013-01-09 18:00:00
66,21.9015293,2013-01-09 19:00:00
67,21.2697754,2013-01-09 20:00:00
68,23.067709,2013-01-09 21:00:00
69,58.1572266,2013-01-09 22:00:00
70,18.3829746,2013-01-09 23:00:00
71,18.192749,2013-01-10 00:00:00
72,14.614502,2013-01-10 01:00:00
73,18.9820957,2013-01-10 02:00:00
74,37.1542969,2013-01-10 03:00:00
75,14.0478516,2013-01-10 04:00:00
76,23.5959473,2013-01-10 05:00:00
77,15.5458174,2013-01-10 06:00:00
78,32.3950195,2013-01-10 07:00:00
79,23.0587559,2013-01-10 08:00:00
80,28.2036133,2013-01-10 09:00:00
81,20.6930332,2013-01-10 10:00:00
82,17.8269043,2013-01-10 11:00:00
83,9.64390087,2013-01-10 12:00:00
84,9.8839922,2013-01-10 13:00:00
85,18.2385254,2013-01-10 14:00:00
86,21.5068359,2013-01-10 15:00:00
87,24.8220215,2013-01-10 16:00:00
88,18.3544102,2013-01-10 17:00:00
89,17.1777344,2013-01-10 18:00:00
90,21.5371094,2013-01-10 19:00:00
91,20.2612305,2013-01-10 20:00:00
92,21.2089844,2013-01-10 21:00:00
93,21.0930996,2013-01-10 22:00:00
94,22.2893066,2013-01-10 23:00:00
95,28.2928066,2013-01-11 00:00:00
96,21.7436523,2013-01-11 01:00:00
97,19.8538418,2013-01-11 02:00:00
98,22.6611328,2013-01-11 03:00:00
99,45.4140625,2013-01-11 04:00:00
100,53.9261055,2013-01-11 05:00:00
101,59.1313477,2013-01-11 06:00:00
102,35.2739258,2013-01-11 07:00:00
103,37.0258789,2013-01-11 08:00:00
104,21.7477207,2013-01-11 09:00:00
105,21.9921875,2013-01-11 10:00:00
106,16.855957,2013-01-11 11:00:00
107,12.7974043,2013-01-11 12:00:00
108,10.8774414,2013-01-11 13:00:00
109,17.8650723,2013-01-11 14:00:00
110,17.7937832,2013-01-11 15:00:00
111,17.7937832,2013-01-11 16:00:00
112,17.7937832,2013-01-11 17:00:00
