,O3,Date
0,74.2669296,2013-01-01 01:00:00
1,74.0338516,2013-01-01 02:00:00
2,60.5395508,2013-01-01 03:00:00
3,61.1412773,2013-01-01 04:00:00
4,59.8320313,2013-01-01 05:00:00
5,116.552734,2013-01-01 06:00:00
6,123.371094,2013-01-01 07:00:00
7,67.9819336,2013-01-01 08:00:00
8,81.4951172,2013-01-01 09:00:00
9,66.996582,2013-01-01 10:00:00
10,80.0859375,2013-01-01 11:00:00
11,97.609375,2013-01-01 12:00:00
12,117.866211,2013-01-01 13:00:00
13,138.380203,2013-01-01 14:00:00
14,140.084641,2013-01-01 15:00:00
15,122.6875,2013-01-01 16:00:00
16,79.5039063,2013-01-01 17:00:00
17,57.46875,2013-01-01 18:00:00
18,77.2806015,2013-01-01 19:00:00
19,68.5625,2013-01-01 20:00:00
20,84.2304688,2013-01-01 21:00:00
21,69.9912109,2013-01-01 22:00:00
22,78.0410156,2013-01-01 23:00:00
23,91.9414063,2013-01-02 00:00:00
24,107.838867,2013-01-02 01:00:00
25,107.838867,2013-01-02 02:00:00
26,107.838867,2013-01-02 03:00:00
27,107.838867,2013-01-02 04:00:00
28,107.838867,2013-01-02 05:00:00
29,36.8662109,2013-01-02 06:00:00
30,73.9560547,2013-01-02 07:00:00
31,74.9986954,2013-01-02 08:00:00
32,69.9267578,2013-01-02 09:00:00
33,80.4199219,2013-01-02 10:00:00
34,78.6943359,2013-01-02 11:00:00
35,73.3388672,2013-01-02 12:00:00
36,79.2330704,2013-01-02 13:00:00
37,66.8569336,2013-01-02 14:00:00
38,71.7330704,2013-01-02 15:00:00
39,73.2395859,2013-01-02 16:00:00
40,68.2161484,2013-01-02 17:00:00
41,66.8105469,2013-01-02 18:00:00
42,71.2825546,2013-01-02 19:00:00
43,73.1538086,2013-01-02 20:00:00
44,75.8808594,2013-01-02 21:00:00
45,66.0162735,2013-01-02 22:00:00
46,60.887207,2013-01-02 23:00:00
47,59.8388672,2013-01-03 00:00:00
48,48.4467773,2013-01-03 01:00:00
49,46.7890625,2013-01-03 02:00:00
50,48.1918945,2013-01-03 03:00:00
51,60.0481758,2013-01-03 04:00:00
52,68.0141602,2013-01-03 05:00:00
53,48.0073242,2013-01-03 06:00:00
54,73.2617188,2013-01-03 07:00:00
55,61.3710938,2013-01-03 08:00:00
56,60.6930351,2013-01-03 09:00:00
57,89.3964844,2013-01-03 10:00:00
58,69.7910156,2013-01-03 11:00:00
59,87.1848984,2013-01-03 12:00:00
60,91.359375,2013-01-03 13:00:00
61,101.308594,2013-01-03 14:00:00
62,90.6660156,2013-01-03 15:00:00
63,128.457031,2013-01-03 16:00:00
64,74.5182266,2013-01-03 17:00:00
65,50.4306641,2013-01-03 18:00:00
66,71.5361328,2013-01-03 19:00:00
67,60.8323555,2013-01-03 20:00:00
68,72.5794296,2013-01-03 21:00:00
69,65.6412735,2013-01-03 22:00:00
70,63.671875,2013-01-03 23:00:00
71,70.487793,2013-01-04 00:00:00
72,276.195313,2013-01-04 01:00:00
73,276.195313,2013-01-04 02:00:00
74,276.195313,2013-01-04 03:00:00
75,62.0218086,2013-01-04 04:00:00
76,62.3310547,2013-01-04 05:00:00
77,50.3706055,2013-01-04 06:00:00
78,56.5826836,2013-01-04 07:00:00
79,57.7643242,2013-01-04 08:00:00
80,65.5947266,2013-01-04 09:00:00
81,83.5566406,2013-01-04 10:00:00
82,101.911133,2013-01-04 11:00:00
83,106.851563,2013-01-04 12:00:00
84,107.57682,2013-01-04 13:00:00
85,110.819336,2013-01-04 14:00:00
86,118.139977,2013-01-04 15:00:00
87,101.087891,2013-01-04 16:00:00
88,65.1425781,2013-01-04 17:00:00
89,47.6010742,2013-01-04 18:00:00
90,57.7382813,2013-01-04 19:00:00
91,60.2456055,2013-01-04 20:00:00
92,61.6308594,2013-01-04 21:00:00
93,71.2568359,2013-01-04 22:00:00
94,69.0846329,2013-01-04 23:00:00
95,59.1977539,2013-01-05 00:00:00
96,69.4016953,2013-01-05 01:00:00
97,76.3461914,2013-01-05 02:00:00
98,59.4697266,2013-01-05 03:00:00
99,66.0742188,2013-01-05 04:00:00
100,54.8772774,2013-01-05 05:00:00
101,56.8276367,2013-01-05 06:00:00
102,56.3637695,2013-01-05 07:00:00
103,56.1611328,2013-01-05 08:00:00
104,60.2646484,2013-01-05 09:00:00
105,75.6940079,2013-01-05 10:00:00
106,68.862793,2013-01-05 11:00:00
107,85.2509766,2013-01-05 12:00:00
108,95.0533829,2013-01-05 13:00:00
109,107.09082,2013-01-05 14:00:00
110,114.867188,2013-01-05 15:00:00
111,88.0908203,2013-01-05 16:00:00
112,66.8177109,2013-01-05 17:00:00
113,74.1656876,2013-01-05 18:00:00
114,80.8291016,2013-01-05 19:00:00
115,75.4270859,2013-01-05 20:00:00
116,76.1080704,2013-01-05 21:00:00
117,73.734375,2013-01-05 22:00:00
118,58.3349609,2013-01-05 23:00:00
119,56.8115234,2013-01-06 00:00:00
120,46.4342461,2013-01-06 01:00:00
121,37.0419922,2013-01-06 02:00:00
122,43.7998047,2013-01-06 03:00:00
123,58.9195976,2013-01-06 04:00:00
124,52.7431641,2013-01-06 05:00:00
125,56.9602852,2013-01-06 06:00:00
126,59.5944023,2013-01-06 07:00:00
127,63.0649414,2013-01-06 08:00:00
128,68.8164063,2013-01-06 09:00:00
129,75.7688828,2013-01-06 10:00:00
130,93.8632813,2013-01-06 11:00:00
131,103.48568,2013-01-06 12:00:00
132,96.7089844,2013-01-06 13:00:00
133,123.438805,2013-01-06 14:00:00
134,93.9798203,2013-01-06 15:00:00
135,82.8098984,2013-01-06 16:00:00
136,56.3763008,2013-01-06 17:00:00
137,56.4316406,2013-01-06 18:00:00
138,73.4628906,2013-01-06 19:00:00
139,85.5605469,2013-01-06 20:00:00
140,92.367836,2013-01-06 21:00:00
141,76.3359375,2013-01-06 22:00:00
142,61.6930351,2013-01-06 23:00:00
143,52.8017578,2013-01-07 00:00:00
0,51.0729179,2013-01-10 22:00:00
1,62.4711914,2013-01-10 23:00:00
2,71.4020157,2013-01-11 00:00:00
3,89.3691406,2013-01-11 01:00:00
4,78.0201797,2013-01-11 02:00:00
5,84.75,2013-01-11 03:00:00
6,88.8701172,2013-01-11 04:00:00
7,76.0234375,2013-01-11 05:00:00
8,82.4257813,2013-01-11 06:00:00
9,87.0716171,2013-01-11 07:00:00
10,74.2688828,2013-01-11 08:00:00
11,92.1806641,2013-01-11 09:00:00
12,114.017578,2013-01-11 10:00:00
13,125.182617,2013-01-11 11:00:00
14,149.983078,2013-01-11 12:00:00
15,156.104172,2013-01-11 13:00:00
16,172.001953,2013-01-11 14:00:00
17,163.260422,2013-01-11 15:00:00
18,147.210938,2013-01-11 16:00:00
19,114.566406,2013-01-11 17:00:00
20,64.0644531,2013-01-11 18:00:00
21,51.512043,2013-01-11 19:00:00
22,63.0319023,2013-01-11 20:00:00
23,70.3470078,2013-01-11 21:00:00
24,81.5130234,2013-01-11 22:00:00
25,72.453125,2013-01-11 23:00:00
26,71.4811172,2013-01-12 00:00:00
27,58.3286133,2013-01-12 01:00:00
28,53.2299805,2013-01-12 02:00:00
29,52.4000664,2013-01-12 03:00:00
30,60.3413086,2013-01-12 04:00:00
31,65.9394531,2013-01-12 05:00:00
32,56.2094727,2013-01-12 06:00:00
33,59.9399414,2013-01-12 07:00:00
34,86.5572891,2013-01-12 08:00:00
35,95.0986328,2013-01-12 09:00:00
36,69.9575195,2013-01-12 10:00:00
37,110.360023,2013-01-12 11:00:00
38,120.943359,2013-01-12 12:00:00
39,132.583984,2013-01-12 13:00:00
40,125.392578,2013-01-12 14:00:00
41,112.075195,2013-01-12 15:00:00
42,103.750648,2013-01-12 16:00:00
43,79.7275391,2013-01-12 17:00:00
44,56.3916016,2013-01-12 18:00:00
45,60.7080078,2013-01-12 19:00:00
46,64.1733398,2013-01-12 20:00:00
47,53.4277344,2013-01-12 21:00:00
48,66.7451172,2013-01-12 22:00:00
49,59.9316406,2013-01-12 23:00:00
50,54.8421211,2013-01-13 00:00:00
0,59.8642578,2013-01-13 01:00:00
1,55.9837227,2013-01-13 02:00:00
2,49.7666016,2013-01-13 03:00:00
3,45.9257813,2013-01-13 04:00:00
4,51.5273438,2013-01-13 05:00:00
5,62.7138672,2013-01-13 06:00:00
6,72.0602188,2013-01-13 07:00:00
7,62.8583984,2013-01-13 08:00:00
8,63.6010742,2013-01-13 09:00:00
9,93.0761719,2013-01-13 10:00:00
10,120.170898,2013-01-13 11:00:00
11,165.901047,2013-01-13 12:00:00
12,168.727859,2013-01-13 13:00:00
13,170.814453,2013-01-13 14:00:00
14,145.354172,2013-01-13 15:00:00
15,132.414063,2013-01-13 16:00:00
16,121.327148,2013-01-13 17:00:00
17,76.3561172,2013-01-13 18:00:00
18,52.3623047,2013-01-13 19:00:00
19,71.5683594,2013-01-13 20:00:00
20,55.2314453,2013-01-13 21:00:00
21,70.5615234,2013-01-13 22:00:00
22,80.1868515,2013-01-13 23:00:00
23,63.6009102,2013-01-14 00:00:00
24,69.2210312,2013-01-14 01:00:00
25,56.8520508,2013-01-14 02:00:00
26,65.7991562,2013-01-14 03:00:00
27,77.0166016,2013-01-14 04:00:00
28,62.0556641,2013-01-14 05:00:00
29,64.2202148,2013-01-14 06:00:00
30,61.0865898,2013-01-14 07:00:00
31,61.6673164,2013-01-14 08:00:00
32,59.484375,2013-01-14 09:00:00
33,73.0634766,2013-01-14 10:00:00
34,96.0205078,2013-01-14 11:00:00
35,98.2324219,2013-01-14 12:00:00
36,102.001305,2013-01-14 13:00:00
37,154.255859,2013-01-14 14:00:00
38,126.723961,2013-01-14 15:00:00
39,113.783203,2013-01-14 16:00:00
40,67.647789,2013-01-14 17:00:00
41,48.1800117,2013-01-14 18:00:00
42,57.0146484,2013-01-14 19:00:00
43,59.6956367,2013-01-14 20:00:00
44,66.4628906,2013-01-14 21:00:00
45,70.2070313,2013-01-14 22:00:00
