,NO2,Date
0,50.1,2013-01-06 16:00:00
1,64.3,2013-01-06 17:00:00
2,67.8,2013-01-06 18:00:00
3,65.5,2013-01-06 19:00:00
4,64.1,2013-01-06 20:00:00
5,44.0,2013-01-06 21:00:00
6,47.2,2013-01-06 22:00:00
7,38.8,2013-01-06 23:00:00
8,37.6,2013-01-07 00:00:00
0,46.8,2013-01-07 01:00:00
1,51.1,2013-01-07 02:00:00
2,48.3,2013-01-07 03:00:00
3,47.0,2013-01-07 04:00:00
4,34.3,2013-01-07 05:00:00
5,40.5,2013-01-07 06:00:00
6,41.9,2013-01-07 07:00:00
7,51.6,2013-01-07 08:00:00
8,56.1,2013-01-07 09:00:00
9,53.8,2013-01-07 10:00:00
10,58.7,2013-01-07 11:00:00
11,61.6,2013-01-07 12:00:00
12,51.6,2013-01-07 13:00:00
13,48.7,2013-01-07 14:00:00
14,46.8,2013-01-07 15:00:00
15,44.4,2013-01-07 16:00:00
16,55.3,2013-01-07 17:00:00
17,79.1,2013-01-07 18:00:00
18,89.1,2013-01-07 19:00:00
19,67.4,2013-01-07 20:00:00
20,49.1,2013-01-07 21:00:00
21,43.3,2013-01-07 22:00:00
22,44.0,2013-01-07 23:00:00
23,48.9,2013-01-08 00:00:00
24,52.8,2013-01-08 01:00:00
25,52.6,2013-01-08 02:00:00
26,52.8,2013-01-08 03:00:00
27,,2013-01-08 04:00:00
28,,2013-01-08 05:00:00
29,,2013-01-08 06:00:00
30,,2013-01-08 07:00:00
31,,2013-01-08 08:00:00
32,,2013-01-08 09:00:00
33,,2013-01-08 10:00:00
34,60.8,2013-01-08 11:00:00
35,58.3,2013-01-08 12:00:00
36,45.8,2013-01-08 13:00:00
37,45.2,2013-01-08 14:00:00
38,,2013-01-08 15:00:00
39,,2013-01-08 16:00:00
40,,2013-01-08 17:00:00
41,,2013-01-08 18:00:00
42,73.7,2013-01-08 19:00:00
43,86.5,2013-01-08 20:00:00
44,69.4,2013-01-08 21:00:00
45,62.0,2013-01-08 22:00:00
46,56.9,2013-01-08 23:00:00
47,58.3,2013-01-09 00:00:00
48,62.6,2013-01-09 01:00:00
49,57.9,2013-01-09 02:00:00
50,54.8,2013-01-09 03:00:00
51,54.8,2013-01-09 04:00:00
52,43.5,2013-01-09 05:00:00
53,42.9,2013-01-09 06:00:00
54,53.4,2013-01-09 07:00:00
55,61.6,2013-01-09 08:00:00
56,72.7,2013-01-09 09:00:00
57,79.3,2013-01-09 10:00:00
58,76.6,2013-01-09 11:00:00
59,68.2,2013-01-09 12:00:00
60,48.7,2013-01-09 13:00:00
61,43.8,2013-01-09 14:00:00
62,35.9,2013-01-09 15:00:00
63,39.4,2013-01-09 16:00:00
64,71.9,2013-01-09 17:00:00
65,75.4,2013-01-09 18:00:00
66,113.4,2013-01-09 19:00:00
67,110.5,2013-01-09 20:00:00
68,64.7,2013-01-09 21:00:00
69,57.7,2013-01-09 22:00:00
70,58.7,2013-01-09 23:00:00
71,55.0,2013-01-10 00:00:00
72,60.4,2013-01-10 01:00:00
73,53.8,2013-01-10 02:00:00
74,52.6,2013-01-10 03:00:00
75,,2013-01-10 04:00:00
76,,2013-01-10 05:00:00
77,,2013-01-10 06:00:00
78,,2013-01-10 07:00:00
79,,2013-01-10 08:00:00
80,,2013-01-10 09:00:00
81,69.6,2013-01-10 10:00:00
82,,2013-01-10 11:00:00
83,55.0,2013-01-10 12:00:00
84,41.3,2013-01-10 13:00:00
85,37.8,2013-01-10 14:00:00
86,36.4,2013-01-10 15:00:00
87,36.8,2013-01-10 16:00:00
88,52.2,2013-01-10 17:00:00
89,75.0,2013-01-10 18:00:00
90,112.6,2013-01-10 19:00:00
91,95.7,2013-01-10 20:00:00
92,73.9,2013-01-10 21:00:00
93,72.1,2013-01-10 22:00:00
94,64.5,2013-01-10 23:00:00
95,53.0,2013-01-11 00:00:00
96,56.1,2013-01-11 01:00:00
97,52.8,2013-01-11 02:00:00
98,53.0,2013-01-11 03:00:00
99,58.5,2013-01-11 04:00:00
100,42.7,2013-01-11 05:00:00
101,52.0,2013-01-11 06:00:00
102,62.4,2013-01-11 07:00:00
103,73.5,2013-01-11 08:00:00
104,72.5,2013-01-11 09:00:00
105,73.5,2013-01-11 10:00:00
106,66.5,2013-01-11 11:00:00
107,59.4,2013-01-11 12:00:00
108,42.5,2013-01-11 13:00:00
109,41.5,2013-01-11 14:00:00
110,37.6,2013-01-11 15:00:00
111,37.4,2013-01-11 16:00:00
112,53.2,2013-01-11 17:00:00
113,97.4,2013-01-11 18:00:00
114,103.9,2013-01-11 19:00:00
115,121.0,2013-01-11 20:00:00
116,100.9,2013-01-11 21:00:00
117,79.3,2013-01-11 22:00:00
118,73.1,2013-01-11 23:00:00
119,68.4,2013-01-12 00:00:00
120,73.9,2013-01-12 01:00:00
121,71.9,2013-01-12 02:00:00
122,66.8,2013-01-12 03:00:00
123,59.6,2013-01-12 04:00:00
124,42.7,2013-01-12 05:00:00
125,48.1,2013-01-12 06:00:00
126,51.8,2013-01-12 07:00:00
127,54.6,2013-01-12 08:00:00
128,85.2,2013-01-12 09:00:00
129,102.1,2013-01-12 10:00:00
130,103.9,2013-01-12 11:00:00
131,97.6,2013-01-12 12:00:00
132,66.1,2013-01-12 13:00:00
133,76.2,2013-01-12 14:00:00
134,69.6,2013-01-12 15:00:00
135,71.1,2013-01-12 16:00:00
136,80.9,2013-01-12 17:00:00
137,96.7,2013-01-12 18:00:00
138,109.3,2013-01-12 19:00:00
139,105.2,2013-01-12 20:00:00
140,77.6,2013-01-12 21:00:00
141,75.4,2013-01-12 22:00:00
142,67.4,2013-01-12 23:00:00
143,69.2,2013-01-13 00:00:00
0,82.0,2013-01-13 01:00:00
1,78.1,2013-01-13 02:00:00
2,73.5,2013-01-13 03:00:00
3,70.0,2013-01-13 04:00:00
4,53.2,2013-01-13 05:00:00
5,53.8,2013-01-13 06:00:00
6,55.7,2013-01-13 07:00:00
7,57.1,2013-01-13 08:00:00
8,79.9,2013-01-13 09:00:00
9,83.6,2013-01-13 10:00:00
10,68.0,2013-01-13 11:00:00
11,55.0,2013-01-13 12:00:00
12,43.8,2013-01-13 13:00:00
13,44.8,2013-01-13 14:00:00
14,39.4,2013-01-13 15:00:00
15,37.6,2013-01-13 16:00:00
16,50.9,2013-01-13 17:00:00
17,59.6,2013-01-13 18:00:00
18,86.1,2013-01-13 19:00:00
19,84.8,2013-01-13 20:00:00
20,65.9,2013-01-13 21:00:00
21,63.5,2013-01-13 22:00:00
22,60.8,2013-01-13 23:00:00
23,55.3,2013-01-14 00:00:00
24,60.8,2013-01-14 01:00:00
25,58.1,2013-01-14 02:00:00
26,55.9,2013-01-14 03:00:00
27,55.3,2013-01-14 04:00:00
28,34.5,2013-01-14 05:00:00
29,40.7,2013-01-14 06:00:00
30,46.0,2013-01-14 07:00:00
31,52.0,2013-01-14 08:00:00
32,58.3,2013-01-14 09:00:00
33,61.0,2013-01-14 10:00:00
34,64.1,2013-01-14 11:00:00
35,65.9,2013-01-14 12:00:00
36,52.0,2013-01-14 13:00:00
37,47.4,2013-01-14 14:00:00
38,46.0,2013-01-14 15:00:00
39,51.1,2013-01-14 16:00:00
40,60.2,2013-01-14 17:00:00
41,59.8,2013-01-14 18:00:00
42,72.9,2013-01-14 19:00:00
43,73.5,2013-01-14 20:00:00
44,56.5,2013-01-14 21:00:00
45,47.4,2013-01-14 22:00:00
46,48.5,2013-01-14 23:00:00
47,47.4,2013-01-15 00:00:00
48,,2013-01-15 01:00:00
49,,2013-01-15 02:00:00
50,,2013-01-15 03:00:00
51,,2013-01-15 04:00:00
52,,2013-01-15 05:00:00
53,,2013-01-15 06:00:00
54,,2013-01-15 07:00:00
55,,2013-01-15 08:00:00
56,,2013-01-15 09:00:00
57,,2013-01-15 10:00:00
58,127.8,2013-01-15 11:00:00
59,106.0,2013-01-15 12:00:00
60,,2013-01-15 13:00:00
61,64.5,2013-01-15 14:00:00
62,,2013-01-15 15:00:00
63,56.1,2013-01-15 16:00:00
64,82.0,2013-01-15 17:00:00
65,88.9,2013-01-15 18:00:00
66,,2013-01-15 19:00:00
67,,2013-01-15 20:00:00
68,,2013-01-15 21:00:00
69,,2013-01-15 22:00:00
70,,2013-01-15 23:00:00
71,,2013-01-16 00:00:00
72,,2013-01-16 01:00:00
73,,2013-01-16 02:00:00
74,,2013-01-16 03:00:00
75,,2013-01-16 04:00:00
76,,2013-01-16 05:00:00
77,,2013-01-16 06:00:00
78,,2013-01-16 07:00:00
79,,2013-01-16 08:00:00
80,,2013-01-16 09:00:00
81,,2013-01-16 10:00:00
82,103.1,2013-01-16 11:00:00
83,79.1,2013-01-16 12:00:00
84,75.4,2013-01-16 13:00:00
85,71.3,2013-01-16 14:00:00
86,63.1,2013-01-16 15:00:00
87,70.0,2013-01-16 16:00:00
88,80.7,2013-01-16 17:00:00
89,87.5,2013-01-16 18:00:00
90,88.3,2013-01-16 19:00:00
91,85.0,2013-01-16 20:00:00
92,64.7,2013-01-16 21:00:00
93,63.5,2013-01-16 22:00:00
94,60.4,2013-01-16 23:00:00
95,60.0,2013-01-17 00:00:00
96,60.0,2013-01-17 01:00:00
97,69.6,2013-01-17 02:00:00
98,73.5,2013-01-17 03:00:00
99,68.8,2013-01-17 04:00:00
100,49.3,2013-01-17 05:00:00
101,60.8,2013-01-17 06:00:00
102,64.3,2013-01-17 07:00:00
103,56.1,2013-01-17 08:00:00
104,71.9,2013-01-17 09:00:00
105,82.4,2013-01-17 10:00:00
106,77.8,2013-01-17 11:00:00
107,64.1,2013-01-17 12:00:00
