,PM10,Date
0,379,2013-01-06 16:00:00
1,327,2013-01-06 17:00:00
2,335,2013-01-06 18:00:00
3,370,2013-01-06 19:00:00
4,374,2013-01-06 20:00:00
5,414,2013-01-06 21:00:00
6,432,2013-01-06 22:00:00
7,399,2013-01-06 23:00:00
8,349,2013-01-07 00:00:00
0,327,2013-01-07 01:00:00
1,294,2013-01-07 02:00:00
2,243,2013-01-07 03:00:00
3,235,2013-01-07 04:00:00
4,213,2013-01-07 05:00:00
5,257,2013-01-07 06:00:00
6,276,2013-01-07 07:00:00
7,271,2013-01-07 08:00:00
8,279,2013-01-07 09:00:00
9,301,2013-01-07 10:00:00
10,294,2013-01-07 11:00:00
11,317,2013-01-07 12:00:00
12,306,2013-01-07 13:00:00
13,312,2013-01-07 14:00:00
14,262,2013-01-07 15:00:00
15,252,2013-01-07 16:00:00
16,249,2013-01-07 17:00:00
17,306,2013-01-07 18:00:00
18,342,2013-01-07 19:00:00
19,401,2013-01-07 20:00:00
20,453,2013-01-07 21:00:00
21,462,2013-01-07 22:00:00
22,497,2013-01-07 23:00:00
23,473,2013-01-08 00:00:00
24,473,2013-01-08 01:00:00
25,360,2013-01-08 02:00:00
26,,2013-01-08 03:00:00
27,,2013-01-08 04:00:00
28,,2013-01-08 05:00:00
29,,2013-01-08 06:00:00
30,,2013-01-08 07:00:00
31,,2013-01-08 08:00:00
32,,2013-01-08 09:00:00
33,,2013-01-08 10:00:00
34,313,2013-01-08 11:00:00
35,313,2013-01-08 12:00:00
36,279,2013-01-08 13:00:00
37,349,2013-01-08 14:00:00
38,,2013-01-08 15:00:00
39,,2013-01-08 16:00:00
40,,2013-01-08 17:00:00
41,,2013-01-08 18:00:00
42,528,2013-01-08 19:00:00
43,528,2013-01-08 20:00:00
44,528,2013-01-08 21:00:00
45,393,2013-01-08 22:00:00
46,324,2013-01-08 23:00:00
47,345,2013-01-09 00:00:00
48,345,2013-01-09 01:00:00
49,269,2013-01-09 02:00:00
50,255,2013-01-09 03:00:00
51,248,2013-01-09 04:00:00
52,252,2013-01-09 05:00:00
53,243,2013-01-09 06:00:00
54,302,2013-01-09 07:00:00
55,500,2013-01-09 08:00:00
56,416,2013-01-09 09:00:00
57,384,2013-01-09 10:00:00
58,383,2013-01-09 11:00:00
59,339,2013-01-09 12:00:00
60,327,2013-01-09 13:00:00
61,346,2013-01-09 14:00:00
62,265,2013-01-09 15:00:00
63,212,2013-01-09 16:00:00
64,206,2013-01-09 17:00:00
65,299,2013-01-09 18:00:00
66,400,2013-01-09 19:00:00
67,354,2013-01-09 20:00:00
68,277,2013-01-09 21:00:00
69,255,2013-01-09 22:00:00
70,266,2013-01-09 23:00:00
71,229,2013-01-10 00:00:00
72,197,2013-01-10 01:00:00
73,183,2013-01-10 02:00:00
74,173,2013-01-10 03:00:00
75,,2013-01-10 04:00:00
76,,2013-01-10 05:00:00
77,,2013-01-10 06:00:00
78,,2013-01-10 07:00:00
79,,2013-01-10 08:00:00
80,,2013-01-10 09:00:00
81,305,2013-01-10 10:00:00
82,,2013-01-10 11:00:00
83,332,2013-01-10 12:00:00
84,366,2013-01-10 13:00:00
85,379,2013-01-10 14:00:00
86,332,2013-01-10 15:00:00
87,338,2013-01-10 16:00:00
88,311,2013-01-10 17:00:00
89,226,2013-01-10 18:00:00
90,385,2013-01-10 19:00:00
91,364,2013-01-10 20:00:00
92,284,2013-01-10 21:00:00
93,304,2013-01-10 22:00:00
94,212,2013-01-10 23:00:00
95,145,2013-01-11 00:00:00
96,124,2013-01-11 01:00:00
97,107,2013-01-11 02:00:00
98,103,2013-01-11 03:00:00
99,119,2013-01-11 04:00:00
100,127,2013-01-11 05:00:00
101,207,2013-01-11 06:00:00
102,244,2013-01-11 07:00:00
103,246,2013-01-11 08:00:00
104,257,2013-01-11 09:00:00
105,266,2013-01-11 10:00:00
106,241,2013-01-11 11:00:00
107,257,2013-01-11 12:00:00
108,239,2013-01-11 13:00:00
109,249,2013-01-11 14:00:00
110,285,2013-01-11 15:00:00
111,235,2013-01-11 16:00:00
112,174,2013-01-11 17:00:00
