,O3,Date
0,24.7,2013-01-06 16:00:00
1,18.2,2013-01-06 17:00:00
2,1.7,2013-01-06 18:00:00
3,0,2013-01-06 19:00:00
4,0,2013-01-06 20:00:00
5,0,2013-01-06 21:00:00
6,0,2013-01-06 22:00:00
7,0,2013-01-06 23:00:00
8,0,2013-01-07 00:00:00
0,0,2013-01-07 01:00:00
1,0,2013-01-07 02:00:00
2,1.4,2013-01-07 03:00:00
3,0,2013-01-07 04:00:00
4,0,2013-01-07 05:00:00
5,0,2013-01-07 06:00:00
6,0,2013-01-07 07:00:00
7,0,2013-01-07 08:00:00
8,0,2013-01-07 09:00:00
9,0.2,2013-01-07 10:00:00
10,,2013-01-07 11:00:00
11,,2013-01-07 12:00:00
12,,2013-01-07 13:00:00
13,,2013-01-07 14:00:00
14,,2013-01-07 15:00:00
15,17.0,2013-01-07 16:00:00
16,22.7,2013-01-07 17:00:00
17,0,2013-01-07 18:00:00
18,0,2013-01-07 19:00:00
19,0,2013-01-07 20:00:00
20,0,2013-01-07 21:00:00
21,0,2013-01-07 22:00:00
22,0,2013-01-07 23:00:00
23,0,2013-01-08 00:00:00
24,0,2013-01-08 01:00:00
25,0,2013-01-08 02:00:00
26,0,2013-01-08 03:00:00
27,0,2013-01-08 04:00:00
28,0.7,2013-01-08 05:00:00
29,0,2013-01-08 06:00:00
30,0,2013-01-08 07:00:00
31,0,2013-01-08 08:00:00
32,1.1,2013-01-08 09:00:00
33,4.1,2013-01-08 10:00:00
34,5.5,2013-01-08 11:00:00
35,16.2,2013-01-08 12:00:00
36,,2013-01-08 13:00:00
37,,2013-01-08 14:00:00
38,,2013-01-08 15:00:00
39,37.5,2013-01-08 16:00:00
40,41.7,2013-01-08 17:00:00
41,15.0,2013-01-08 18:00:00
42,0,2013-01-08 19:00:00
43,0,2013-01-08 20:00:00
44,0,2013-01-08 21:00:00
45,0,2013-01-08 22:00:00
46,0,2013-01-08 23:00:00
47,0,2013-01-09 00:00:00
48,0,2013-01-09 01:00:00
49,0.4,2013-01-09 02:00:00
50,0,2013-01-09 03:00:00
51,0,2013-01-09 04:00:00
52,0,2013-01-09 05:00:00
53,0,2013-01-09 06:00:00
54,,2013-01-09 07:00:00
55,,2013-01-09 08:00:00
56,,2013-01-09 09:00:00
57,,2013-01-09 10:00:00
58,,2013-01-09 11:00:00
59,,2013-01-09 12:00:00
60,,2013-01-09 13:00:00
61,,2013-01-09 14:00:00
62,,2013-01-09 15:00:00
63,,2013-01-09 16:00:00
64,,2013-01-09 17:00:00
65,,2013-01-09 18:00:00
66,,2013-01-09 19:00:00
67,,2013-01-09 20:00:00
68,,2013-01-09 21:00:00
69,,2013-01-09 22:00:00
70,,2013-01-09 23:00:00
71,,2013-01-10 00:00:00
72,,2013-01-10 01:00:00
73,,2013-01-10 02:00:00
74,,2013-01-10 03:00:00
75,,2013-01-10 04:00:00
76,,2013-01-10 05:00:00
77,,2013-01-10 06:00:00
78,,2013-01-10 07:00:00
79,,2013-01-10 08:00:00
80,,2013-01-10 09:00:00
81,17.3,2013-01-10 10:00:00
82,,2013-01-10 11:00:00
83,45.5,2013-01-10 12:00:00
84,64.2,2013-01-10 13:00:00
85,74.6,2013-01-10 14:00:00
86,67.7,2013-01-10 15:00:00
87,,2013-01-10 16:00:00
88,71.1,2013-01-10 17:00:00
89,14.8,2013-01-10 18:00:00
90,2.7,2013-01-10 19:00:00
91,0,2013-01-10 20:00:00
92,0.3,2013-01-10 21:00:00
93,0,2013-01-10 22:00:00
94,7.7,2013-01-10 23:00:00
95,25.7,2013-01-11 00:00:00
96,26.2,2013-01-11 01:00:00
97,31.3,2013-01-11 02:00:00
98,32.8,2013-01-11 03:00:00
99,28.8,2013-01-11 04:00:00
100,30.7,2013-01-11 05:00:00
101,11.7,2013-01-11 06:00:00
102,8.7,2013-01-11 07:00:00
103,0,2013-01-11 08:00:00
104,6.2,2013-01-11 09:00:00
105,19.2,2013-01-11 10:00:00
106,37.9,2013-01-11 11:00:00
107,49.4,2013-01-11 12:00:00
108,,2013-01-11 13:00:00
109,,2013-01-11 14:00:00
110,,2013-01-11 15:00:00
111,,2013-01-11 16:00:00
112,,2013-01-11 17:00:00
113,,2013-01-11 18:00:00
114,,2013-01-11 19:00:00
115,0,2013-01-11 20:00:00
116,0,2013-01-11 21:00:00
117,0,2013-01-11 22:00:00
118,0,2013-01-11 23:00:00
119,0,2013-01-12 00:00:00
120,0,2013-01-12 01:00:00
121,0,2013-01-12 02:00:00
122,0,2013-01-12 03:00:00
123,0,2013-01-12 04:00:00
124,0,2013-01-12 05:00:00
125,0,2013-01-12 06:00:00
126,0,2013-01-12 07:00:00
127,0,2013-01-12 08:00:00
128,0,2013-01-12 09:00:00
129,0.2,2013-01-12 10:00:00
130,15.0,2013-01-12 11:00:00
131,54.0,2013-01-12 12:00:00
132,83.5,2013-01-12 13:00:00
133,81.4,2013-01-12 14:00:00
134,60.6,2013-01-12 15:00:00
135,13.5,2013-01-12 16:00:00
136,10.1,2013-01-12 17:00:00
137,1.1,2013-01-12 18:00:00
138,6.2,2013-01-12 19:00:00
139,10.0,2013-01-12 20:00:00
140,12.2,2013-01-12 21:00:00
141,13.4,2013-01-12 22:00:00
142,13.9,2013-01-12 23:00:00
143,15.9,2013-01-13 00:00:00
0,13.7,2013-01-13 01:00:00
1,14.1,2013-01-13 02:00:00
2,18.5,2013-01-13 03:00:00
3,16.6,2013-01-13 04:00:00
4,18.9,2013-01-13 05:00:00
5,25.7,2013-01-13 06:00:00
6,14.1,2013-01-13 07:00:00
7,16.1,2013-01-13 08:00:00
8,27.4,2013-01-13 09:00:00
9,29.8,2013-01-13 10:00:00
