,PM25,Date
0,226,2013-01-06 16:00:00
1,192,2013-01-06 17:00:00
2,214,2013-01-06 18:00:00
3,269,2013-01-06 19:00:00
4,269,2013-01-06 20:00:00
5,269,2013-01-06 21:00:00
6,306,2013-01-06 22:00:00
7,298,2013-01-06 23:00:00
8,273,2013-01-07 00:00:00
0,271,2013-01-07 01:00:00
1,238,2013-01-07 02:00:00
2,218,2013-01-07 03:00:00
3,187,2013-01-07 04:00:00
4,170,2013-01-07 05:00:00
5,137,2013-01-07 06:00:00
6,139,2013-01-07 07:00:00
7,152,2013-01-07 08:00:00
8,148,2013-01-07 09:00:00
9,178,2013-01-07 10:00:00
10,,2013-01-07 11:00:00
11,,2013-01-07 12:00:00
12,,2013-01-07 13:00:00
13,174,2013-01-07 14:00:00
14,,2013-01-07 15:00:00
15,,2013-01-07 16:00:00
16,,2013-01-07 17:00:00
17,200,2013-01-07 18:00:00
18,,2013-01-07 19:00:00
19,,2013-01-07 20:00:00
20,,2013-01-07 21:00:00
21,,2013-01-07 22:00:00
22,,2013-01-07 23:00:00
23,,2013-01-08 00:00:00
24,,2013-01-08 01:00:00
25,,2013-01-08 02:00:00
26,,2013-01-08 03:00:00
27,,2013-01-08 04:00:00
28,,2013-01-08 05:00:00
29,,2013-01-08 06:00:00
30,,2013-01-08 07:00:00
31,,2013-01-08 08:00:00
32,,2013-01-08 09:00:00
33,,2013-01-08 10:00:00
34,,2013-01-08 11:00:00
35,,2013-01-08 12:00:00
36,,2013-01-08 13:00:00
37,,2013-01-08 14:00:00
38,,2013-01-08 15:00:00
39,149,2013-01-08 16:00:00
40,144,2013-01-08 17:00:00
41,200,2013-01-08 18:00:00
42,273,2013-01-08 19:00:00
43,273,2013-01-08 20:00:00
44,273,2013-01-08 21:00:00
45,273,2013-01-08 22:00:00
46,273,2013-01-08 23:00:00
47,273,2013-01-09 00:00:00
48,273,2013-01-09 01:00:00
49,228,2013-01-09 02:00:00
50,217,2013-01-09 03:00:00
51,217,2013-01-09 04:00:00
52,217,2013-01-09 05:00:00
53,217,2013-01-09 06:00:00
54,,2013-01-09 07:00:00
55,,2013-01-09 08:00:00
56,,2013-01-09 09:00:00
57,,2013-01-09 10:00:00
58,,2013-01-09 11:00:00
59,272,2013-01-09 12:00:00
60,202,2013-01-09 13:00:00
61,132,2013-01-09 14:00:00
62,77,2013-01-09 15:00:00
63,93,2013-01-09 16:00:00
64,76,2013-01-09 17:00:00
65,137,2013-01-09 18:00:00
66,216,2013-01-09 19:00:00
67,216,2013-01-09 20:00:00
68,226,2013-01-09 21:00:00
69,226,2013-01-09 22:00:00
70,217,2013-01-09 23:00:00
71,180,2013-01-10 00:00:00
72,159,2013-01-10 01:00:00
73,158,2013-01-10 02:00:00
74,155,2013-01-10 03:00:00
75,164,2013-01-10 04:00:00
76,157,2013-01-10 05:00:00
77,145,2013-01-10 06:00:00
78,179,2013-01-10 07:00:00
79,188,2013-01-10 08:00:00
80,233,2013-01-10 09:00:00
81,233,2013-01-10 10:00:00
82,,2013-01-10 11:00:00
83,153,2013-01-10 12:00:00
84,130,2013-01-10 13:00:00
85,107,2013-01-10 14:00:00
86,94,2013-01-10 15:00:00
87,,2013-01-10 16:00:00
88,75,2013-01-10 17:00:00
89,92,2013-01-10 18:00:00
90,92,2013-01-10 19:00:00
91,92,2013-01-10 20:00:00
92,92,2013-01-10 21:00:00
93,92,2013-01-10 22:00:00
94,157,2013-01-10 23:00:00
