,PM10,Date
0,443,2013-01-06 16:00:00
1,472,2013-01-06 17:00:00
2,449,2013-01-06 18:00:00
3,522,2013-01-06 19:00:00
4,722,2013-01-06 20:00:00
5,748,2013-01-06 21:00:00
6,462,2013-01-06 22:00:00
7,400,2013-01-06 23:00:00
8,411,2013-01-07 00:00:00
0,459,2013-01-07 01:00:00
1,332,2013-01-07 02:00:00
2,304,2013-01-07 03:00:00
3,273,2013-01-07 04:00:00
4,249,2013-01-07 05:00:00
5,240,2013-01-07 06:00:00
6,255,2013-01-07 07:00:00
7,233,2013-01-07 08:00:00
8,272,2013-01-07 09:00:00
9,276,2013-01-07 10:00:00
10,272,2013-01-07 11:00:00
11,318,2013-01-07 12:00:00
12,324,2013-01-07 13:00:00
13,378,2013-01-07 14:00:00
14,376,2013-01-07 15:00:00
15,322,2013-01-07 16:00:00
16,322,2013-01-07 17:00:00
17,444,2013-01-07 18:00:00
18,414,2013-01-07 19:00:00
19,475,2013-01-07 20:00:00
20,501,2013-01-07 21:00:00
21,472,2013-01-07 22:00:00
22,425,2013-01-07 23:00:00
23,371,2013-01-08 00:00:00
24,398,2013-01-08 01:00:00
25,371,2013-01-08 02:00:00
26,373,2013-01-08 03:00:00
27,359,2013-01-08 04:00:00
28,315,2013-01-08 05:00:00
29,280,2013-01-08 06:00:00
30,309,2013-01-08 07:00:00
31,277,2013-01-08 08:00:00
32,362,2013-01-08 09:00:00
33,321,2013-01-08 10:00:00
34,272,2013-01-08 11:00:00
35,268,2013-01-08 12:00:00
36,248,2013-01-08 13:00:00
37,289,2013-01-08 14:00:00
38,324,2013-01-08 15:00:00
39,260,2013-01-08 16:00:00
40,262,2013-01-08 17:00:00
41,311,2013-01-08 18:00:00
42,349,2013-01-08 19:00:00
43,354,2013-01-08 20:00:00
44,287,2013-01-08 21:00:00
45,306,2013-01-08 22:00:00
46,337,2013-01-08 23:00:00
47,313,2013-01-09 00:00:00
48,293,2013-01-09 01:00:00
49,266,2013-01-09 02:00:00
50,243,2013-01-09 03:00:00
51,257,2013-01-09 04:00:00
52,260,2013-01-09 05:00:00
53,251,2013-01-09 06:00:00
54,252,2013-01-09 07:00:00
55,296,2013-01-09 08:00:00
56,346,2013-01-09 09:00:00
57,318,2013-01-09 10:00:00
58,280,2013-01-09 11:00:00
59,237,2013-01-09 12:00:00
60,230,2013-01-09 13:00:00
61,279,2013-01-09 14:00:00
62,364,2013-01-09 15:00:00
63,269,2013-01-09 16:00:00
64,205,2013-01-09 17:00:00
65,260,2013-01-09 18:00:00
66,454,2013-01-09 19:00:00
67,434,2013-01-09 20:00:00
68,469,2013-01-09 21:00:00
69,350,2013-01-09 22:00:00
70,356,2013-01-09 23:00:00
71,280,2013-01-10 00:00:00
72,241,2013-01-10 01:00:00
73,230,2013-01-10 02:00:00
74,197,2013-01-10 03:00:00
75,211,2013-01-10 04:00:00
76,194,2013-01-10 05:00:00
77,183,2013-01-10 06:00:00
78,218,2013-01-10 07:00:00
79,282,2013-01-10 08:00:00
80,304,2013-01-10 09:00:00
81,392,2013-01-10 10:00:00
82,,2013-01-10 11:00:00
83,334,2013-01-10 12:00:00
84,399,2013-01-10 13:00:00
85,726,2013-01-10 14:00:00
86,758,2013-01-10 15:00:00
87,420,2013-01-10 16:00:00
88,453,2013-01-10 17:00:00
89,,2013-01-10 18:00:00
90,368,2013-01-10 19:00:00
91,335,2013-01-10 20:00:00
92,362,2013-01-10 21:00:00
93,481,2013-01-10 22:00:00
94,354,2013-01-10 23:00:00
95,222,2013-01-11 00:00:00
96,208,2013-01-11 01:00:00
97,169,2013-01-11 02:00:00
98,157,2013-01-11 03:00:00
99,167,2013-01-11 04:00:00
100,143,2013-01-11 05:00:00
101,182,2013-01-11 06:00:00
102,189,2013-01-11 07:00:00
103,216,2013-01-11 08:00:00
104,295,2013-01-11 09:00:00
105,287,2013-01-11 10:00:00
106,280,2013-01-11 11:00:00
107,268,2013-01-11 12:00:00
108,182,2013-01-11 13:00:00
109,345,2013-01-11 14:00:00
110,238,2013-01-11 15:00:00
111,299,2013-01-11 16:00:00
112,256,2013-01-11 17:00:00
113,251,2013-01-11 18:00:00
114,285,2013-01-11 19:00:00
115,395,2013-01-11 20:00:00
116,323,2013-01-11 21:00:00
117,,2013-01-11 22:00:00
118,,2013-01-11 23:00:00
119,,2013-01-12 00:00:00
120,,2013-01-12 01:00:00
121,305,2013-01-12 02:00:00
122,296,2013-01-12 03:00:00
123,287,2013-01-12 04:00:00
124,265,2013-01-12 05:00:00
125,249,2013-01-12 06:00:00
126,328,2013-01-12 07:00:00
127,462,2013-01-12 08:00:00
128,506,2013-01-12 09:00:00
129,392,2013-01-12 10:00:00
130,310,2013-01-12 11:00:00
131,354,2013-01-12 12:00:00
132,262,2013-01-12 13:00:00
133,272,2013-01-12 14:00:00
134,364,2013-01-12 15:00:00
135,,2013-01-12 16:00:00
136,278,2013-01-12 17:00:00
137,340,2013-01-12 18:00:00
138,396,2013-01-12 19:00:00
139,489,2013-01-12 20:00:00
140,536,2013-01-12 21:00:00
141,450,2013-01-12 22:00:00
142,437,2013-01-12 23:00:00
143,423,2013-01-13 00:00:00
0,396,2013-01-13 01:00:00
1,382,2013-01-13 02:00:00
2,345,2013-01-13 03:00:00
3,321,2013-01-13 04:00:00
4,295,2013-01-13 05:00:00
5,287,2013-01-13 06:00:00
6,326,2013-01-13 07:00:00
7,382,2013-01-13 08:00:00
8,442,2013-01-13 09:00:00
9,428,2013-01-13 10:00:00
10,300,2013-01-13 11:00:00
11,262,2013-01-13 12:00:00
12,227,2013-01-13 13:00:00
13,349,2013-01-13 14:00:00
14,356,2013-01-13 15:00:00
15,368,2013-01-13 16:00:00
16,434,2013-01-13 17:00:00
17,478,2013-01-13 18:00:00
18,523,2013-01-13 19:00:00
19,553,2013-01-13 20:00:00
20,593,2013-01-13 21:00:00
21,652,2013-01-13 22:00:00
22,671,2013-01-13 23:00:00
23,676,2013-01-14 00:00:00
24,602,2013-01-14 01:00:00
25,534,2013-01-14 02:00:00
26,455,2013-01-14 03:00:00
27,434,2013-01-14 04:00:00
28,417,2013-01-14 05:00:00
29,307,2013-01-14 06:00:00
30,278,2013-01-14 07:00:00
31,313,2013-01-14 08:00:00
32,320,2013-01-14 09:00:00
33,387,2013-01-14 10:00:00
34,387,2013-01-14 11:00:00
35,328,2013-01-14 12:00:00
36,499,2013-01-14 13:00:00
37,284,2013-01-14 14:00:00
38,298,2013-01-14 15:00:00
39,353,2013-01-14 16:00:00
40,385,2013-01-14 17:00:00
41,404,2013-01-14 18:00:00
42,500,2013-01-14 19:00:00
43,743,2013-01-14 20:00:00
44,659,2013-01-14 21:00:00
45,702,2013-01-14 22:00:00
46,703,2013-01-14 23:00:00
47,611,2013-01-15 00:00:00
48,569,2013-01-15 01:00:00
