,SO2,Date
0,5.7545166,2014-01-01 01:00:00
1,11.645874,2014-01-01 02:00:00
2,13.4324951,2014-01-01 03:00:00
3,13.8791504,2014-01-01 04:00:00
4,14.8431807,2014-01-01 05:00:00
5,10.3657227,2014-01-01 06:00:00
6,5.91888428,2014-01-01 07:00:00
7,3.86364746,2014-01-01 08:00:00
8,14.3653564,2014-01-01 09:00:00
9,12.5891113,2014-01-01 10:00:00
10,11.9700518,2014-01-01 11:00:00
11,7.52596045,2014-01-01 12:00:00
12,9.73762989,2014-01-01 13:00:00
13,13.6540527,2014-01-01 14:00:00
14,3.55228686,2014-01-01 15:00:00
15,7.21659327,2014-01-01 16:00:00
16,8.30706787,2014-01-01 17:00:00
17,4.44976807,2014-01-01 18:00:00
18,12.7106123,2014-01-01 19:00:00
19,10.8059082,2014-01-01 20:00:00
20,8.65616894,2014-01-01 21:00:00
21,9.9987793,2014-01-01 22:00:00
22,4.82267237,2014-01-01 23:00:00
23,11.7149248,2014-01-02 00:00:00
24,9.46520996,2014-01-02 01:00:00
25,18.7906895,2014-01-02 02:00:00
26,12.5739746,2014-01-02 03:00:00
27,10.1202393,2014-01-02 04:00:00
28,14.869873,2014-01-02 05:00:00
29,29.5068359,2014-01-02 06:00:00
30,14.5661621,2014-01-02 07:00:00
31,11.5265303,2014-01-02 08:00:00
32,11.4146729,2014-01-02 09:00:00
33,10.4810791,2014-01-02 10:00:00
34,15.9331055,2014-01-02 11:00:00
35,20.9007168,2014-01-02 12:00:00
36,13.0281572,2014-01-02 13:00:00
37,16.3921719,2014-01-02 14:00:00
38,9.65100098,2014-01-02 15:00:00
39,7.97229004,2014-01-02 16:00:00
40,7.30171728,2014-01-02 17:00:00
41,6.4052124,2014-01-02 18:00:00
42,10.897624,2014-01-02 19:00:00
43,13.0606279,2014-01-02 20:00:00
44,11.3758135,2014-01-02 21:00:00
45,17.0307617,2014-01-02 22:00:00
46,10.0266113,2014-01-02 23:00:00
47,23.0231113,2014-01-03 00:00:00
48,36.671875,2014-01-03 01:00:00
49,13.753499,2014-01-03 02:00:00
50,16.6329746,2014-01-03 03:00:00
51,11.8914795,2014-01-03 04:00:00
52,7.34643555,2014-01-03 05:00:00
53,11.8812256,2014-01-03 06:00:00
54,4.47023535,2014-01-03 07:00:00
55,20.3715,2014-01-03 08:00:00
56,24.7387695,2014-01-03 09:00:00
57,11.0219727,2014-01-03 10:00:00
58,12.5016279,2014-01-03 11:00:00
59,19.5584316,2014-01-03 12:00:00
60,14.0533037,2014-01-03 13:00:00
61,17.2957363,2014-01-03 14:00:00
62,17.1196289,2014-01-03 15:00:00
63,17.8676758,2014-01-03 16:00:00
64,13.4476318,2014-01-03 17:00:00
65,10.9560547,2014-01-03 18:00:00
66,16.0315762,2014-01-03 19:00:00
67,21.5854492,2014-01-03 20:00:00
68,26.3393555,2014-01-03 21:00:00
69,28.0506191,2014-01-03 22:00:00
70,36.1363945,2014-01-03 23:00:00
71,54.9399414,2014-01-04 00:00:00
72,76.6015625,2014-01-04 01:00:00
73,65.0644531,2014-01-04 02:00:00
74,33.7543945,2014-01-04 03:00:00
75,42.7626953,2014-01-04 04:00:00
76,30.9973145,2014-01-04 05:00:00
77,22.5766602,2014-01-04 06:00:00
78,16.3590088,2014-01-04 07:00:00
79,26.9873047,2014-01-04 08:00:00
80,57.1259766,2014-01-04 09:00:00
81,29.3157558,2014-01-04 10:00:00
82,27.3172207,2014-01-04 11:00:00
83,34.0898438,2014-01-04 12:00:00
84,38.0888672,2014-01-04 13:00:00
85,35.3720703,2014-01-04 14:00:00
86,29.1534824,2014-01-04 15:00:00
87,40.0322266,2014-01-04 16:00:00
88,42.7799492,2014-01-04 17:00:00
89,25.5539551,2014-01-04 18:00:00
90,13.4020996,2014-01-04 19:00:00
91,15.3935547,2014-01-04 20:00:00
92,10.2949219,2014-01-04 21:00:00
93,9.14640331,2014-01-04 22:00:00
94,12.6765547,2014-01-04 23:00:00
