,O3,Date
0,,2014-01-01 01:00:00
1,,2014-01-01 02:00:00
2,,2014-01-01 03:00:00
3,,2014-01-01 04:00:00
4,,2014-01-01 05:00:00
5,,2014-01-01 06:00:00
6,,2014-01-01 07:00:00
7,,2014-01-01 08:00:00
8,,2014-01-01 09:00:00
9,,2014-01-01 10:00:00
10,,2014-01-01 11:00:00
11,0.5,2014-01-01 12:00:00
12,2.8,2014-01-01 13:00:00
13,8.3,2014-01-01 14:00:00
14,,2014-01-01 15:00:00
15,7.0,2014-01-01 16:00:00
16,14.1,2014-01-01 17:00:00
17,10.2,2014-01-01 18:00:00
18,20.9,2014-01-01 19:00:00
19,6.4,2014-01-01 20:00:00
20,12.3,2014-01-01 21:00:00
21,13.3,2014-01-01 22:00:00
22,9.6,2014-01-01 23:00:00
23,14.7,2014-01-02 00:00:00
24,14.6,2014-01-02 01:00:00
25,8.6,2014-01-02 02:00:00
26,14.9,2014-01-02 03:00:00
27,1.4,2014-01-02 04:00:00
28,11.3,2014-01-02 05:00:00
29,9.8,2014-01-02 06:00:00
30,10.0,2014-01-02 07:00:00
31,9.9,2014-01-02 08:00:00
32,8.8,2014-01-02 09:00:00
33,6.7,2014-01-02 10:00:00
34,11.6,2014-01-02 11:00:00
35,10.7,2014-01-02 12:00:00
36,8.4,2014-01-02 13:00:00
37,10.3,2014-01-02 14:00:00
38,13.3,2014-01-02 15:00:00
39,11.8,2014-01-02 16:00:00
40,14.5,2014-01-02 17:00:00
41,13.5,2014-01-02 18:00:00
42,13.4,2014-01-02 19:00:00
43,,2014-01-02 20:00:00
44,6.9,2014-01-02 21:00:00
45,12.3,2014-01-02 22:00:00
46,4.0,2014-01-02 23:00:00
47,12.0,2014-01-03 00:00:00
48,10.0,2014-01-03 01:00:00
49,,2014-01-03 02:00:00
50,,2014-01-03 03:00:00
51,,2014-01-03 04:00:00
52,,2014-01-03 05:00:00
53,,2014-01-03 06:00:00
54,,2014-01-03 07:00:00
55,,2014-01-03 08:00:00
56,,2014-01-03 09:00:00
57,,2014-01-03 10:00:00
58,,2014-01-03 11:00:00
59,,2014-01-03 12:00:00
60,,2014-01-03 13:00:00
61,,2014-01-03 14:00:00
62,12.3,2014-01-03 15:00:00
63,13.2,2014-01-03 16:00:00
64,11.0,2014-01-03 17:00:00
65,10.2,2014-01-03 18:00:00
66,14.8,2014-01-03 19:00:00
67,8.0,2014-01-03 20:00:00
68,,2014-01-03 21:00:00
