,NO1,Date
0,9.62841797,2014-01-01 01:00:00
1,9.62841797,2014-01-01 02:00:00
2,9.62841797,2014-01-01 03:00:00
3,9.62841797,2014-01-01 04:00:00
4,9.62841797,2014-01-01 05:00:00
5,9.62841797,2014-01-01 06:00:00
6,9.62841797,2014-01-01 07:00:00
7,9.62841797,2014-01-01 08:00:00
8,9.62841797,2014-01-01 09:00:00
9,9.62841797,2014-01-01 10:00:00
10,9.62841797,2014-01-01 11:00:00
11,9.62841797,2014-01-01 12:00:00
12,9.62841797,2014-01-01 13:00:00
13,9.62841797,2014-01-01 14:00:00
14,9.62841797,2014-01-01 15:00:00
15,9.62841797,2014-01-01 16:00:00
16,9.62841797,2014-01-01 17:00:00
17,9.62841797,2014-01-01 18:00:00
18,9.62841797,2014-01-01 19:00:00
19,9.62841797,2014-01-01 20:00:00
20,9.62841797,2014-01-01 21:00:00
21,9.62841797,2014-01-01 22:00:00
22,9.62841797,2014-01-01 23:00:00
23,9.62841797,2014-01-02 00:00:00
24,9.62841797,2014-01-02 01:00:00
25,9.62841797,2014-01-02 02:00:00
26,9.62841797,2014-01-02 03:00:00
27,9.62841797,2014-01-02 04:00:00
28,9.62841797,2014-01-02 05:00:00
29,9.62841797,2014-01-02 06:00:00
30,9.62841797,2014-01-02 07:00:00
31,9.62841797,2014-01-02 08:00:00
32,9.62841797,2014-01-02 09:00:00
33,9.62841797,2014-01-02 10:00:00
34,9.62841797,2014-01-02 11:00:00
35,9.62841797,2014-01-02 12:00:00
36,9.62841797,2014-01-02 13:00:00
37,9.62841797,2014-01-02 14:00:00
38,9.62841797,2014-01-02 15:00:00
39,9.62841797,2014-01-02 16:00:00
40,9.62841797,2014-01-02 17:00:00
41,9.62841797,2014-01-02 18:00:00
42,9.62841797,2014-01-02 19:00:00
43,9.62841797,2014-01-02 20:00:00
44,9.62841797,2014-01-02 21:00:00
45,9.62841797,2014-01-02 22:00:00
46,9.62841797,2014-01-02 23:00:00
47,9.62841797,2014-01-03 00:00:00
48,9.62841797,2014-01-03 01:00:00
49,9.62841797,2014-01-03 02:00:00
50,9.62841797,2014-01-03 03:00:00
51,9.62841797,2014-01-03 04:00:00
52,9.62841797,2014-01-03 05:00:00
53,9.62841797,2014-01-03 06:00:00
54,9.62841797,2014-01-03 07:00:00
55,9.62841797,2014-01-03 08:00:00
56,9.62841797,2014-01-03 09:00:00
57,9.62841797,2014-01-03 10:00:00
58,9.62841797,2014-01-03 11:00:00
59,9.62841797,2014-01-03 12:00:00
60,9.62841797,2014-01-03 13:00:00
61,9.62841797,2014-01-03 14:00:00
62,9.62841797,2014-01-03 15:00:00
63,9.62841797,2014-01-03 16:00:00
64,9.62841797,2014-01-03 17:00:00
65,9.62841797,2014-01-03 18:00:00
66,9.62841797,2014-01-03 19:00:00
67,9.62841797,2014-01-03 20:00:00
68,9.62841797,2014-01-03 21:00:00
69,9.62841797,2014-01-03 22:00:00
70,9.62841797,2014-01-03 23:00:00
71,9.62841797,2014-01-04 00:00:00
72,9.62841797,2014-01-04 01:00:00
73,9.62841797,2014-01-04 02:00:00
74,9.62841797,2014-01-04 03:00:00
75,9.62841797,2014-01-04 04:00:00
76,9.62841797,2014-01-04 05:00:00
77,9.62841797,2014-01-04 06:00:00
78,9.62841797,2014-01-04 07:00:00
79,9.62841797,2014-01-04 08:00:00
80,9.62841797,2014-01-04 09:00:00
81,9.62841797,2014-01-04 10:00:00
82,9.62841797,2014-01-04 11:00:00
83,9.62841797,2014-01-04 12:00:00
84,9.62841797,2014-01-04 13:00:00
85,9.62841797,2014-01-04 14:00:00
86,9.62841797,2014-01-04 15:00:00
87,9.62841797,2014-01-04 16:00:00
88,9.62841797,2014-01-04 17:00:00
89,9.62841797,2014-01-04 18:00:00
90,9.62841797,2014-01-04 19:00:00
91,9.62841797,2014-01-04 20:00:00
92,9.62841797,2014-01-04 21:00:00
93,9.62841797,2014-01-04 22:00:00
94,9.62841797,2014-01-04 23:00:00
95,9.62841797,2014-01-05 00:00:00
96,9.62841797,2014-01-05 01:00:00
97,9.62841797,2014-01-05 02:00:00
98,9.62841797,2014-01-05 03:00:00
99,9.62841797,2014-01-05 04:00:00
100,9.62841797,2014-01-05 05:00:00
101,9.62841797,2014-01-05 06:00:00
102,9.62841797,2014-01-05 07:00:00
103,9.62841797,2014-01-05 08:00:00
104,9.62841797,2014-01-05 09:00:00
105,9.62841797,2014-01-05 10:00:00
106,9.62841797,2014-01-05 11:00:00
107,9.62841797,2014-01-05 12:00:00
108,9.62841797,2014-01-05 13:00:00
109,9.62841797,2014-01-05 14:00:00
110,9.62841797,2014-01-05 15:00:00
