,SO2,Date
0,14.3,2014-01-01 01:00:00
1,8.9,2014-01-01 02:00:00
2,14.9,2014-01-01 03:00:00
3,10.9,2014-01-01 04:00:00
4,14.0,2014-01-01 05:00:00
5,,2014-01-01 06:00:00
6,16.3,2014-01-01 07:00:00
7,22.3,2014-01-01 08:00:00
8,20.6,2014-01-01 09:00:00
9,18.6,2014-01-01 10:00:00
10,20.0,2014-01-01 11:00:00
11,,2014-01-01 12:00:00
12,10.6,2014-01-01 13:00:00
13,19.4,2014-01-01 14:00:00
14,13.2,2014-01-01 15:00:00
15,8.0,2014-01-01 16:00:00
16,,2014-01-01 17:00:00
17,,2014-01-01 18:00:00
18,13.7,2014-01-01 19:00:00
19,12.3,2014-01-01 20:00:00
20,13.4,2014-01-01 21:00:00
21,14.3,2014-01-01 22:00:00
22,9.2,2014-01-01 23:00:00
23,,2014-01-02 00:00:00
24,9.4,2014-01-02 01:00:00
25,6.3,2014-01-02 02:00:00
26,8.3,2014-01-02 03:00:00
27,0.9,2014-01-02 04:00:00
28,4.6,2014-01-02 05:00:00
29,,2014-01-02 06:00:00
30,0.6,2014-01-02 07:00:00
31,0.6,2014-01-02 08:00:00
32,,2014-01-02 09:00:00
33,,2014-01-02 10:00:00
34,13.4,2014-01-02 11:00:00
35,,2014-01-02 12:00:00
36,21.2,2014-01-02 13:00:00
37,13.4,2014-01-02 14:00:00
38,15.2,2014-01-02 15:00:00
39,9.4,2014-01-02 16:00:00
40,8.3,2014-01-02 17:00:00
41,,2014-01-02 18:00:00
42,6.9,2014-01-02 19:00:00
43,6.6,2014-01-02 20:00:00
44,13.7,2014-01-02 21:00:00
45,7.7,2014-01-02 22:00:00
46,,2014-01-02 23:00:00
47,,2014-01-03 00:00:00
48,4.0,2014-01-03 01:00:00
49,10.3,2014-01-03 02:00:00
50,2.6,2014-01-03 03:00:00
51,5.4,2014-01-03 04:00:00
52,1.1,2014-01-03 05:00:00
53,,2014-01-03 06:00:00
54,1.1,2014-01-03 07:00:00
55,7.4,2014-01-03 08:00:00
56,8.3,2014-01-03 09:00:00
57,8.3,2014-01-03 10:00:00
58,17.7,2014-01-03 11:00:00
59,,2014-01-03 12:00:00
60,21.7,2014-01-03 13:00:00
61,14.0,2014-01-03 14:00:00
62,16.6,2014-01-03 15:00:00
63,20.3,2014-01-03 16:00:00
64,18.6,2014-01-03 17:00:00
65,,2014-01-03 18:00:00
66,15.2,2014-01-03 19:00:00
67,15.2,2014-01-03 20:00:00
68,17.7,2014-01-03 21:00:00
69,9.4,2014-01-03 22:00:00
70,10.0,2014-01-03 23:00:00
71,,2014-01-04 00:00:00
72,3.4,2014-01-04 01:00:00
73,10.0,2014-01-04 02:00:00
74,11.7,2014-01-04 03:00:00
75,11.2,2014-01-04 04:00:00
76,8.0,2014-01-04 05:00:00
77,,2014-01-04 06:00:00
78,10.0,2014-01-04 07:00:00
79,17.7,2014-01-04 08:00:00
80,7.7,2014-01-04 09:00:00
81,11.7,2014-01-04 10:00:00
82,23.2,2014-01-04 11:00:00
83,,2014-01-04 12:00:00
84,15.2,2014-01-04 13:00:00
85,39.8,2014-01-04 14:00:00
86,43.2,2014-01-04 15:00:00
87,29.7,2014-01-04 16:00:00
88,24.0,2014-01-04 17:00:00
89,,2014-01-04 18:00:00
90,14.9,2014-01-04 19:00:00
91,18.9,2014-01-04 20:00:00
92,6.0,2014-01-04 21:00:00
93,14.3,2014-01-04 22:00:00
94,20.6,2014-01-04 23:00:00
95,,2014-01-05 00:00:00
96,,2014-01-05 01:00:00
97,1.1,2014-01-05 02:00:00
98,7.2,2014-01-05 03:00:00
