,SO2,Date
0,18.7,2014-01-01 01:00:00
1,21.8,2014-01-01 02:00:00
2,16.6,2014-01-01 03:00:00
3,24.3,2014-01-01 04:00:00
4,10.8,2014-01-01 05:00:00
5,,2014-01-01 06:00:00
6,14.7,2014-01-01 07:00:00
7,16.7,2014-01-01 08:00:00
8,17.5,2014-01-01 09:00:00
9,27.4,2014-01-01 10:00:00
10,22.9,2014-01-01 11:00:00
11,,2014-01-01 12:00:00
12,5.1,2014-01-01 13:00:00
13,4.9,2014-01-01 14:00:00
14,,2014-01-01 15:00:00
15,,2014-01-01 16:00:00
16,,2014-01-01 17:00:00
17,,2014-01-01 18:00:00
18,16.4,2014-01-01 19:00:00
19,21.4,2014-01-01 20:00:00
20,9.9,2014-01-01 21:00:00
21,8.0,2014-01-01 22:00:00
22,6.3,2014-01-01 23:00:00
23,,2014-01-02 00:00:00
24,18.5,2014-01-02 01:00:00
25,19.9,2014-01-02 02:00:00
26,21.7,2014-01-02 03:00:00
27,27.3,2014-01-02 04:00:00
28,7.5,2014-01-02 05:00:00
29,,2014-01-02 06:00:00
30,0,2014-01-02 07:00:00
31,0,2014-01-02 08:00:00
32,8.4,2014-01-02 09:00:00
33,14.9,2014-01-02 10:00:00
34,26.3,2014-01-02 11:00:00
35,,2014-01-02 12:00:00
36,14.9,2014-01-02 13:00:00
37,9.0,2014-01-02 14:00:00
38,,2014-01-02 15:00:00
39,11.6,2014-01-02 16:00:00
40,,2014-01-02 17:00:00
41,,2014-01-02 18:00:00
42,,2014-01-02 19:00:00
43,17.6,2014-01-02 20:00:00
44,11.6,2014-01-02 21:00:00
45,2.5,2014-01-02 22:00:00
46,7.7,2014-01-02 23:00:00
47,,2014-01-03 00:00:00
48,22.0,2014-01-03 01:00:00
49,19.6,2014-01-03 02:00:00
50,19.4,2014-01-03 03:00:00
51,24.9,2014-01-03 04:00:00
52,11.7,2014-01-03 05:00:00
53,,2014-01-03 06:00:00
54,5.9,2014-01-03 07:00:00
55,7.5,2014-01-03 08:00:00
56,27.1,2014-01-03 09:00:00
57,31.8,2014-01-03 10:00:00
58,24.0,2014-01-03 11:00:00
59,,2014-01-03 12:00:00
60,5.3,2014-01-03 13:00:00
61,10.5,2014-01-03 14:00:00
62,8.6,2014-01-03 15:00:00
63,10.7,2014-01-03 16:00:00
64,21.2,2014-01-03 17:00:00
65,,2014-01-03 18:00:00
66,7.3,2014-01-03 19:00:00
67,8.0,2014-01-03 20:00:00
68,12.6,2014-01-03 21:00:00
69,9.1,2014-01-03 22:00:00
70,8.4,2014-01-03 23:00:00
71,,2014-01-04 00:00:00
72,16.0,2014-01-04 01:00:00
73,13.2,2014-01-04 02:00:00
74,14.0,2014-01-04 03:00:00
75,11.7,2014-01-04 04:00:00
76,14.5,2014-01-04 05:00:00
77,,2014-01-04 06:00:00
78,3.3,2014-01-04 07:00:00
79,11.5,2014-01-04 08:00:00
80,22.4,2014-01-04 09:00:00
81,21.5,2014-01-04 10:00:00
82,23.1,2014-01-04 11:00:00
83,,2014-01-04 12:00:00
84,19.8,2014-01-04 13:00:00
85,33.0,2014-01-04 14:00:00
86,24.8,2014-01-04 15:00:00
87,21.9,2014-01-04 16:00:00
88,19.4,2014-01-04 17:00:00
89,,2014-01-04 18:00:00
