,O3,Date
0,76.6263046,2015-01-01 01:00:00
1,86.8971329,2015-01-01 02:00:00
2,85.09375,2015-01-01 03:00:00
3,77.3037109,2015-01-01 04:00:00
4,71.0771484,2015-01-01 05:00:00
5,70.1513672,2015-01-01 06:00:00
6,61.7714844,2015-01-01 07:00:00
7,64.296875,2015-01-01 08:00:00
8,66.6152344,2015-01-01 09:00:00
9,86.5537109,2015-01-01 10:00:00
10,85.859375,2015-01-01 11:00:00
11,93.305336,2015-01-01 12:00:00
12,123.184242,2015-01-01 13:00:00
13,116.523438,2015-01-01 14:00:00
14,111.012695,2015-01-01 15:00:00
15,101.970055,2015-01-01 16:00:00
16,50.4612617,2015-01-01 17:00:00
17,47.7408867,2015-01-01 18:00:00
18,57.2386055,2015-01-01 19:00:00
19,57.2871094,2015-01-01 20:00:00
20,55.2392578,2015-01-01 21:00:00
21,48.1821289,2015-01-01 22:00:00
22,58.7861328,2015-01-01 23:00:00
23,43.6790352,2015-01-02 00:00:00
24,56.2320976,2015-01-02 01:00:00
25,58.2817383,2015-01-02 02:00:00
26,68.0888672,2015-01-02 03:00:00
27,43.9633789,2015-01-02 04:00:00
28,40.9749336,2015-01-02 05:00:00
29,47.4677734,2015-01-02 06:00:00
30,46.8383789,2015-01-02 07:00:00
31,55.4262695,2015-01-02 08:00:00
32,49.6557617,2015-01-02 09:00:00
33,56.7509766,2015-01-02 10:00:00
34,54.8178711,2015-01-02 11:00:00
35,53.7200508,2015-01-02 12:00:00
36,43.3857422,2015-01-02 13:00:00
37,27.9807949,2015-01-02 14:00:00
38,35.9960938,2015-01-02 15:00:00
39,27.6677246,2015-01-02 16:00:00
40,26.6706543,2015-01-02 17:00:00
41,33.03125,2015-01-02 18:00:00
42,19.9165039,2015-01-02 19:00:00
43,22.1743164,2015-01-02 20:00:00
44,34.6713867,2015-01-02 21:00:00
45,36.2324219,2015-01-02 22:00:00
46,33.5224609,2015-01-02 23:00:00
47,32.3694649,2015-01-03 00:00:00
48,43.0068359,2015-01-03 01:00:00
49,38.3173828,2015-01-03 02:00:00
50,36.6962891,2015-01-03 03:00:00
51,44.0688477,2015-01-03 04:00:00
52,43.6186523,2015-01-03 05:00:00
53,36.9316406,2015-01-03 06:00:00
54,44.7539063,2015-01-03 07:00:00
55,42.0332031,2015-01-03 08:00:00
56,31.4612637,2015-01-03 09:00:00
57,50.0449219,2015-01-03 10:00:00
58,55.8489571,2015-01-03 11:00:00
59,73.5488281,2015-01-03 12:00:00
60,79.5872421,2015-01-03 13:00:00
61,73.7832031,2015-01-03 14:00:00
62,64.6005859,2015-01-03 15:00:00
63,58.7571602,2015-01-03 16:00:00
64,44.9819336,2015-01-03 17:00:00
65,38.8580742,2015-01-03 18:00:00
66,37.7669258,2015-01-03 19:00:00
67,47.8134766,2015-01-03 20:00:00
68,47.3745117,2015-01-03 21:00:00
69,49.3041992,2015-01-03 22:00:00
70,50.6188164,2015-01-03 23:00:00
71,50.1100273,2015-01-04 00:00:00
72,46.7265625,2015-01-04 01:00:00
73,53.1977539,2015-01-04 02:00:00
74,53.1977539,2015-01-04 03:00:00
75,41.8662109,2015-01-04 04:00:00
76,64.2319336,2015-01-04 05:00:00
77,45.402832,2015-01-04 06:00:00
78,43.5219727,2015-01-04 07:00:00
79,51.2802734,2015-01-04 08:00:00
80,54.5677071,2015-01-04 09:00:00
81,60.2483711,2015-01-04 10:00:00
82,71.2096329,2015-01-04 11:00:00
83,91.5302734,2015-01-04 12:00:00
84,104.106117,2015-01-04 13:00:00
85,91.5424805,2015-01-04 14:00:00
86,122.313148,2015-01-04 15:00:00
87,115.375648,2015-01-04 16:00:00
88,100.25,2015-01-04 17:00:00
89,76.508461,2015-01-04 18:00:00
