,CO,Date
0,,2015-01-01 01:00:00
1,,2015-01-01 02:00:00
2,,2015-01-01 03:00:00
3,,2015-01-01 04:00:00
4,,2015-01-01 05:00:00
5,,2015-01-01 06:00:00
6,,2015-01-01 07:00:00
7,,2015-01-01 08:00:00
8,,2015-01-01 09:00:00
9,3.2,2015-01-01 10:00:00
10,2.6,2015-01-01 11:00:00
11,2.2,2015-01-01 12:00:00
12,2.1,2015-01-01 13:00:00
13,0.8,2015-01-01 14:00:00
14,0.5,2015-01-01 15:00:00
15,1.1,2015-01-01 16:00:00
16,,2015-01-01 17:00:00
17,,2015-01-01 18:00:00
18,,2015-01-01 19:00:00
19,4.3,2015-01-01 20:00:00
20,6.4,2015-01-01 21:00:00
21,8.8,2015-01-01 22:00:00
22,7.2,2015-01-01 23:00:00
23,7.6,2015-01-02 00:00:00
24,,2015-01-02 01:00:00
25,,2015-01-02 02:00:00
26,,2015-01-02 03:00:00
27,,2015-01-02 04:00:00
28,,2015-01-02 05:00:00
29,,2015-01-02 06:00:00
30,,2015-01-02 07:00:00
31,,2015-01-02 08:00:00
32,1.1,2015-01-02 09:00:00
33,1.4,2015-01-02 10:00:00
34,0.8,2015-01-02 11:00:00
35,0.9,2015-01-02 12:00:00
36,1.1,2015-01-02 13:00:00
37,1.1,2015-01-02 14:00:00
38,,2015-01-02 15:00:00
39,1.1,2015-01-02 16:00:00
40,1.2,2015-01-02 17:00:00
41,1.0,2015-01-02 18:00:00
42,1.2,2015-01-02 19:00:00
43,1.4,2015-01-02 20:00:00
44,,2015-01-02 21:00:00
45,,2015-01-02 22:00:00
46,,2015-01-02 23:00:00
47,,2015-01-03 00:00:00
48,,2015-01-03 01:00:00
49,,2015-01-03 02:00:00
50,,2015-01-03 03:00:00
51,,2015-01-03 04:00:00
52,,2015-01-03 05:00:00
53,,2015-01-03 06:00:00
54,,2015-01-03 07:00:00
55,,2015-01-03 08:00:00
56,,2015-01-03 09:00:00
57,,2015-01-03 10:00:00
58,1.2,2015-01-03 11:00:00
59,1.1,2015-01-03 12:00:00
60,1.6,2015-01-03 13:00:00
61,1.3,2015-01-03 14:00:00
62,1.3,2015-01-03 15:00:00
63,1.6,2015-01-03 16:00:00
64,2.4,2015-01-03 17:00:00
65,1.9,2015-01-03 18:00:00
66,1.8,2015-01-03 19:00:00
67,,2015-01-03 20:00:00
68,3.3,2015-01-03 21:00:00
69,3.0,2015-01-03 22:00:00
70,1.6,2015-01-03 23:00:00
71,1.4,2015-01-04 00:00:00
72,2.1,2015-01-04 01:00:00
73,1.7,2015-01-04 02:00:00
74,1.1,2015-01-04 03:00:00
75,1.2,2015-01-04 04:00:00
76,0.7,2015-01-04 05:00:00
77,0.8,2015-01-04 06:00:00
78,1.0,2015-01-04 07:00:00
79,1.0,2015-01-04 08:00:00
80,2.3,2015-01-04 09:00:00
81,2.4,2015-01-04 10:00:00
82,0.9,2015-01-04 11:00:00
83,1.1,2015-01-04 12:00:00
84,1.7,2015-01-04 13:00:00
85,1.3,2015-01-04 14:00:00
86,1.7,2015-01-04 15:00:00
87,1.0,2015-01-04 16:00:00
88,1.4,2015-01-04 17:00:00
89,1.4,2015-01-04 18:00:00
90,1.5,2015-01-04 19:00:00
91,2.2,2015-01-04 20:00:00
92,1.6,2015-01-04 21:00:00
93,1.2,2015-01-04 22:00:00
94,1.2,2015-01-04 23:00:00
95,1.3,2015-01-05 00:00:00
96,1.0,2015-01-05 01:00:00
97,0.9,2015-01-05 02:00:00
98,0.9,2015-01-05 03:00:00
99,1.0,2015-01-05 04:00:00
100,0.9,2015-01-05 05:00:00
