,NO1,Date
0,,2015-01-01 01:00:00
1,,2015-01-01 02:00:00
2,,2015-01-01 03:00:00
3,,2015-01-01 04:00:00
4,,2015-01-01 05:00:00
5,,2015-01-01 06:00:00
6,,2015-01-01 07:00:00
7,,2015-01-01 08:00:00
8,,2015-01-01 09:00:00
9,53.0,2015-01-01 10:00:00
10,3.1,2015-01-01 11:00:00
11,115.0,2015-01-01 12:00:00
12,,2015-01-01 13:00:00
13,3.4,2015-01-01 14:00:00
14,71.8,2015-01-01 15:00:00
15,,2015-01-01 16:00:00
16,,2015-01-01 17:00:00
17,,2015-01-01 18:00:00
18,,2015-01-01 19:00:00
19,19.3,2015-01-01 20:00:00
20,,2015-01-01 21:00:00
21,277.1,2015-01-01 22:00:00
22,,2015-01-01 23:00:00
23,36.2,2015-01-02 00:00:00
24,,2015-01-02 01:00:00
25,,2015-01-02 02:00:00
26,,2015-01-02 03:00:00
27,,2015-01-02 04:00:00
28,,2015-01-02 05:00:00
29,,2015-01-02 06:00:00
30,,2015-01-02 07:00:00
31,,2015-01-02 08:00:00
32,,2015-01-02 09:00:00
33,17.1,2015-01-02 10:00:00
34,,2015-01-02 11:00:00
35,6.9,2015-01-02 12:00:00
36,6.6,2015-01-02 13:00:00
37,57.1,2015-01-02 14:00:00
38,,2015-01-02 15:00:00
39,3.5,2015-01-02 16:00:00
40,57.4,2015-01-02 17:00:00
41,3.3,2015-01-02 18:00:00
42,5.9,2015-01-02 19:00:00
43,0.3,2015-01-02 20:00:00
44,,2015-01-02 21:00:00
45,,2015-01-02 22:00:00
46,,2015-01-02 23:00:00
47,,2015-01-03 00:00:00
48,,2015-01-03 01:00:00
49,,2015-01-03 02:00:00
50,,2015-01-03 03:00:00
51,,2015-01-03 04:00:00
52,,2015-01-03 05:00:00
53,,2015-01-03 06:00:00
54,,2015-01-03 07:00:00
55,,2015-01-03 08:00:00
56,,2015-01-03 09:00:00
57,,2015-01-03 10:00:00
58,,2015-01-03 11:00:00
59,,2015-01-03 12:00:00
60,30.8,2015-01-03 13:00:00
61,,2015-01-03 14:00:00
62,9.6,2015-01-03 15:00:00
63,,2015-01-03 16:00:00
64,,2015-01-03 17:00:00
65,,2015-01-03 18:00:00
66,35.6,2015-01-03 19:00:00
67,,2015-01-03 20:00:00
68,,2015-01-03 21:00:00
69,22.2,2015-01-03 22:00:00
70,,2015-01-03 23:00:00
71,6.0,2015-01-04 00:00:00
72,,2015-01-04 01:00:00
73,7.1,2015-01-04 02:00:00
74,16.8,2015-01-04 03:00:00
75,0.8,2015-01-04 04:00:00
76,72.8,2015-01-04 05:00:00
77,,2015-01-04 06:00:00
78,18.2,2015-01-04 07:00:00
79,,2015-01-04 08:00:00
80,140.5,2015-01-04 09:00:00
81,,2015-01-04 10:00:00
82,29.2,2015-01-04 11:00:00
83,6.5,2015-01-04 12:00:00
84,10.1,2015-01-04 13:00:00
85,45.2,2015-01-04 14:00:00
86,,2015-01-04 15:00:00
87,,2015-01-04 16:00:00
88,,2015-01-04 17:00:00
89,,2015-01-04 18:00:00
90,,2015-01-04 19:00:00
91,,2015-01-04 20:00:00
92,42.7,2015-01-04 21:00:00
93,8.7,2015-01-04 22:00:00
94,37.4,2015-01-04 23:00:00
95,64.1,2015-01-05 00:00:00
96,1.0,2015-01-05 01:00:00
97,,2015-01-05 02:00:00
98,,2015-01-05 03:00:00
99,,2015-01-05 04:00:00
100,9.0,2015-01-05 05:00:00
101,,2015-01-05 06:00:00
102,,2015-01-05 07:00:00
103,112.9,2015-01-05 08:00:00
104,63.1,2015-01-05 09:00:00
