,PM25,Date
0,,2015-01-01 01:00:00
1,,2015-01-01 02:00:00
2,,2015-01-01 03:00:00
3,,2015-01-01 04:00:00
4,,2015-01-01 05:00:00
5,,2015-01-01 06:00:00
6,,2015-01-01 07:00:00
7,,2015-01-01 08:00:00
8,,2015-01-01 09:00:00
9,508,2015-01-01 10:00:00
10,525,2015-01-01 11:00:00
11,508,2015-01-01 12:00:00
12,511,2015-01-01 13:00:00
13,403,2015-01-01 14:00:00
14,160,2015-01-01 15:00:00
15,197,2015-01-01 16:00:00
16,,2015-01-01 17:00:00
17,,2015-01-01 18:00:00
18,,2015-01-01 19:00:00
19,,2015-01-01 20:00:00
20,,2015-01-01 21:00:00
21,,2015-01-01 22:00:00
22,,2015-01-01 23:00:00
23,,2015-01-02 00:00:00
24,,2015-01-02 01:00:00
25,,2015-01-02 02:00:00
26,,2015-01-02 03:00:00
27,,2015-01-02 04:00:00
28,,2015-01-02 05:00:00
29,,2015-01-02 06:00:00
30,,2015-01-02 07:00:00
31,,2015-01-02 08:00:00
32,108,2015-01-02 09:00:00
33,63,2015-01-02 10:00:00
34,,2015-01-02 11:00:00
35,60,2015-01-02 12:00:00
36,69,2015-01-02 13:00:00
37,122,2015-01-02 14:00:00
38,,2015-01-02 15:00:00
39,104,2015-01-02 16:00:00
40,72,2015-01-02 17:00:00
41,104,2015-01-02 18:00:00
42,95,2015-01-02 19:00:00
43,88,2015-01-02 20:00:00
44,,2015-01-02 21:00:00
45,,2015-01-02 22:00:00
46,,2015-01-02 23:00:00
47,,2015-01-03 00:00:00
48,,2015-01-03 01:00:00
49,,2015-01-03 02:00:00
50,,2015-01-03 03:00:00
51,,2015-01-03 04:00:00
52,,2015-01-03 05:00:00
53,,2015-01-03 06:00:00
54,,2015-01-03 07:00:00
55,,2015-01-03 08:00:00
56,,2015-01-03 09:00:00
57,98,2015-01-03 10:00:00
58,126,2015-01-03 11:00:00
59,95,2015-01-03 12:00:00
60,155,2015-01-03 13:00:00
61,180,2015-01-03 14:00:00
62,149,2015-01-03 15:00:00
63,130,2015-01-03 16:00:00
64,89,2015-01-03 17:00:00
65,138,2015-01-03 18:00:00
66,150,2015-01-03 19:00:00
67,,2015-01-03 20:00:00
68,193,2015-01-03 21:00:00
69,224,2015-01-03 22:00:00
70,203,2015-01-03 23:00:00
71,182,2015-01-04 00:00:00
72,194,2015-01-04 01:00:00
73,210,2015-01-04 02:00:00
74,210,2015-01-04 03:00:00
75,220,2015-01-04 04:00:00
76,224,2015-01-04 05:00:00
77,149,2015-01-04 06:00:00
78,108,2015-01-04 07:00:00
79,111,2015-01-04 08:00:00
80,75,2015-01-04 09:00:00
81,83,2015-01-04 10:00:00
82,127,2015-01-04 11:00:00
83,167,2015-01-04 12:00:00
84,171,2015-01-04 13:00:00
85,159,2015-01-04 14:00:00
86,144,2015-01-04 15:00:00
87,140,2015-01-04 16:00:00
88,117,2015-01-04 17:00:00
89,169,2015-01-04 18:00:00
90,220,2015-01-04 19:00:00
91,248,2015-01-04 20:00:00
92,257,2015-01-04 21:00:00
93,210,2015-01-04 22:00:00
94,175,2015-01-04 23:00:00
95,154,2015-01-05 00:00:00
96,139,2015-01-05 01:00:00
97,118,2015-01-05 02:00:00
98,123,2015-01-05 03:00:00
99,125,2015-01-05 04:00:00
100,133,2015-01-05 05:00:00
101,143,2015-01-05 06:00:00
102,146,2015-01-05 07:00:00
103,152,2015-01-05 08:00:00
104,176,2015-01-05 09:00:00
105,174,2015-01-05 10:00:00
106,151,2015-01-05 11:00:00
107,142,2015-01-05 12:00:00
