,SO2,Date
0,5.6864419,2015-01-01 01:00:00
1,8.70306396,2015-01-01 02:00:00
2,9.24822998,2015-01-01 03:00:00
3,4.53399658,2015-01-01 04:00:00
4,3.17757154,2015-01-01 05:00:00
5,7.96146631,2015-01-01 06:00:00
6,6.259552,2015-01-01 07:00:00
7,7.53926611,2015-01-01 08:00:00
8,16.361166,2015-01-01 09:00:00
9,111.45768,2015-01-01 10:00:00
10,98.3671875,2015-01-01 11:00:00
11,103.208984,2015-01-01 12:00:00
12,87.3391953,2015-01-01 13:00:00
13,29.527832,2015-01-01 14:00:00
14,18.2613926,2015-01-01 15:00:00
15,13.7868652,2015-01-01 16:00:00
16,11.7845049,2015-01-01 17:00:00
17,5.890625,2015-01-01 18:00:00
18,4.83178711,2015-01-01 19:00:00
19,3.68234253,2015-01-01 20:00:00
20,2.4487915,2015-01-01 21:00:00
21,3.32873535,2015-01-01 22:00:00
22,2.69107056,2015-01-01 23:00:00
23,2.67539477,2015-01-02 00:00:00
24,2.27502441,2015-01-02 01:00:00
25,3.38882446,2015-01-02 02:00:00
26,15.6855469,2015-01-02 03:00:00
27,22.7893677,2015-01-02 04:00:00
28,19.0071621,2015-01-02 05:00:00
29,8.36429882,2015-01-02 06:00:00
30,12.8068037,2015-01-02 07:00:00
31,4.12109375,2015-01-02 08:00:00
32,2.75360107,2015-01-02 09:00:00
33,1.79007971,2015-01-02 10:00:00
34,2.24376416,2015-01-02 11:00:00
35,6.65283203,2015-01-02 12:00:00
36,1.38514709,2015-01-02 13:00:00
37,2.97445679,2015-01-02 14:00:00
38,3.00435376,2015-01-02 15:00:00
39,1.98047888,2015-01-02 16:00:00
40,0.16123962,2015-01-02 17:00:00
41,1.22973633,2015-01-02 18:00:00
42,3.16701245,2015-01-02 19:00:00
43,9.11029053,2015-01-02 20:00:00
44,3.75242114,2015-01-02 21:00:00
45,4.62390137,2015-01-02 22:00:00
46,7.33003759,2015-01-02 23:00:00
47,4.242208,2015-01-03 00:00:00
48,1.19850159,2015-01-03 01:00:00
49,1.24095917,2015-01-03 02:00:00
50,0.90070087,2015-01-03 03:00:00
51,2.32385254,2015-01-03 04:00:00
52,3.31724048,2015-01-03 05:00:00
53,2.93933105,2015-01-03 06:00:00
54,0.58042908,2015-01-03 07:00:00
55,0.92299396,2015-01-03 08:00:00
56,2.24987793,2015-01-03 09:00:00
57,2.84132886,2015-01-03 10:00:00
