,O3,Date
0,8.6,2015-01-01 01:00:00
1,5.4,2015-01-01 02:00:00
2,4.1,2015-01-01 03:00:00
3,3.9,2015-01-01 04:00:00
4,4.5,2015-01-01 05:00:00
5,3.0,2015-01-01 06:00:00
6,3.2,2015-01-01 07:00:00
7,3.2,2015-01-01 08:00:00
8,8.4,2015-01-01 09:00:00
9,4.9,2015-01-01 10:00:00
10,9.2,2015-01-01 11:00:00
11,12.6,2015-01-01 12:00:00
12,26.1,2015-01-01 13:00:00
13,54.0,2015-01-01 14:00:00
14,56.1,2015-01-01 15:00:00
15,58.1,2015-01-01 16:00:00
16,19.7,2015-01-01 17:00:00
17,5.4,2015-01-01 18:00:00
18,7.9,2015-01-01 19:00:00
19,7.7,2015-01-01 20:00:00
20,8.1,2015-01-01 21:00:00
21,9.2,2015-01-01 22:00:00
22,11.4,2015-01-01 23:00:00
23,21.6,2015-01-02 00:00:00
24,16.7,2015-01-02 01:00:00
25,14.4,2015-01-02 02:00:00
26,15.9,2015-01-02 03:00:00
27,28.1,2015-01-02 04:00:00
28,34.5,2015-01-02 05:00:00
29,28.3,2015-01-02 06:00:00
30,19.9,2015-01-02 07:00:00
31,15.0,2015-01-02 08:00:00
32,10.5,2015-01-02 09:00:00
33,9.4,2015-01-02 10:00:00
34,8.1,2015-01-02 11:00:00
35,14.6,2015-01-02 12:00:00
36,16.7,2015-01-02 13:00:00
37,15.6,2015-01-02 14:00:00
38,17.8,2015-01-02 15:00:00
39,15.6,2015-01-02 16:00:00
40,,2015-01-02 17:00:00
41,15.0,2015-01-02 18:00:00
42,11.8,2015-01-02 19:00:00
43,12.6,2015-01-02 20:00:00
44,,2015-01-02 21:00:00
45,24.6,2015-01-02 22:00:00
46,30.6,2015-01-02 23:00:00
47,,2015-01-03 00:00:00
48,,2015-01-03 01:00:00
49,,2015-01-03 02:00:00
50,,2015-01-03 03:00:00
51,,2015-01-03 04:00:00
52,,2015-01-03 05:00:00
53,,2015-01-03 06:00:00
54,,2015-01-03 07:00:00
55,,2015-01-03 08:00:00
56,12.9,2015-01-03 09:00:00
57,11.8,2015-01-03 10:00:00
58,17.8,2015-01-03 11:00:00
59,,2015-01-03 12:00:00
60,28.9,2015-01-03 13:00:00
61,,2015-01-03 14:00:00
62,,2015-01-03 15:00:00
63,,2015-01-03 16:00:00
64,13.9,2015-01-03 17:00:00
65,12.6,2015-01-03 18:00:00
66,12.6,2015-01-03 19:00:00
67,14.4,2015-01-03 20:00:00
68,17.1,2015-01-03 21:00:00
69,17.8,2015-01-03 22:00:00
70,18.4,2015-01-03 23:00:00
71,14.8,2015-01-04 00:00:00
72,12.6,2015-01-04 01:00:00
73,13.9,2015-01-04 02:00:00
74,14.6,2015-01-04 03:00:00
75,16.1,2015-01-04 04:00:00
76,17.4,2015-01-04 05:00:00
77,17.4,2015-01-04 06:00:00
78,14.8,2015-01-04 07:00:00
79,,2015-01-04 08:00:00
80,19.7,2015-01-04 09:00:00
81,24.0,2015-01-04 10:00:00
82,,2015-01-04 11:00:00
83,,2015-01-04 12:00:00
84,,2015-01-04 13:00:00
85,,2015-01-04 14:00:00
86,,2015-01-04 15:00:00
87,94.7,2015-01-04 16:00:00
88,84.0,2015-01-04 17:00:00
89,41.4,2015-01-04 18:00:00
90,28.1,2015-01-04 19:00:00
91,26.1,2015-01-04 20:00:00
92,19.5,2015-01-04 21:00:00
93,20.4,2015-01-04 22:00:00
94,23.6,2015-01-04 23:00:00
95,28.3,2015-01-05 00:00:00
96,27.6,2015-01-05 01:00:00
97,27.0,2015-01-05 02:00:00
98,28.1,2015-01-05 03:00:00
99,31.9,2015-01-05 04:00:00
100,36.9,2015-01-05 05:00:00
101,29.1,2015-01-05 06:00:00
102,27.9,2015-01-05 07:00:00
103,23.1,2015-01-05 08:00:00
104,32.4,2015-01-05 09:00:00
105,47.6,2015-01-05 10:00:00
106,,2015-01-05 11:00:00
107,,2015-01-05 12:00:00
108,,2015-01-05 13:00:00
109,,2015-01-05 14:00:00
110,,2015-01-05 15:00:00
111,104.1,2015-01-05 16:00:00
112,88.3,2015-01-05 17:00:00
113,59.1,2015-01-05 18:00:00
114,24.2,2015-01-05 19:00:00
115,14.4,2015-01-05 20:00:00
116,16.1,2015-01-05 21:00:00
117,18.4,2015-01-05 22:00:00
118,25.5,2015-01-05 23:00:00
119,25.1,2015-01-06 00:00:00
120,18.0,2015-01-06 01:00:00
121,8.6,2015-01-06 02:00:00
122,9.0,2015-01-06 03:00:00
123,13.1,2015-01-06 04:00:00
124,10.7,2015-01-06 05:00:00
125,9.4,2015-01-06 06:00:00
126,8.6,2015-01-06 07:00:00
127,10.5,2015-01-06 08:00:00
128,12.9,2015-01-06 09:00:00
129,15.6,2015-01-06 10:00:00
130,21.0,2015-01-06 11:00:00
131,,2015-01-06 12:00:00
132,48.2,2015-01-06 13:00:00
133,56.4,2015-01-06 14:00:00
134,53.6,2015-01-06 15:00:00
135,54.2,2015-01-06 16:00:00
136,26.4,2015-01-06 17:00:00
137,5.4,2015-01-06 18:00:00
138,4.9,2015-01-06 19:00:00
139,6.2,2015-01-06 20:00:00
140,7.7,2015-01-06 21:00:00
141,7.7,2015-01-06 22:00:00
142,7.9,2015-01-06 23:00:00
143,5.6,2015-01-07 00:00:00
0,7.1,2015-01-07 01:00:00
1,4.1,2015-01-07 02:00:00
2,2.6,2015-01-07 03:00:00
3,8.4,2015-01-07 04:00:00
4,5.8,2015-01-07 05:00:00
5,5.6,2015-01-07 06:00:00
6,4.5,2015-01-07 07:00:00
7,6.0,2015-01-07 08:00:00
8,6.4,2015-01-07 09:00:00
9,6.6,2015-01-07 10:00:00
10,8.8,2015-01-07 11:00:00
11,15.6,2015-01-07 12:00:00
12,23.6,2015-01-07 13:00:00
13,36.6,2015-01-07 14:00:00
14,33.4,2015-01-07 15:00:00
15,35.4,2015-01-07 16:00:00
16,25.3,2015-01-07 17:00:00
17,15.2,2015-01-07 18:00:00
18,17.1,2015-01-07 19:00:00
19,10.9,2015-01-07 20:00:00
20,7.7,2015-01-07 21:00:00
21,6.4,2015-01-07 22:00:00
22,8.1,2015-01-07 23:00:00
23,6.0,2015-01-08 00:00:00
24,3.6,2015-01-08 01:00:00
25,3.0,2015-01-08 02:00:00
26,4.3,2015-01-08 03:00:00
