,NO2,Date
0,161.9,2015-01-01 01:00:00
1,,2015-01-01 02:00:00
2,,2015-01-01 03:00:00
3,,2015-01-01 04:00:00
4,,2015-01-01 05:00:00
5,,2015-01-01 06:00:00
6,,2015-01-01 07:00:00
7,,2015-01-01 08:00:00
8,,2015-01-01 09:00:00
9,,2015-01-01 10:00:00
10,,2015-01-01 11:00:00
11,238.5,2015-01-01 12:00:00
12,262.3,2015-01-01 13:00:00
13,317.6,2015-01-01 14:00:00
14,170.6,2015-01-01 15:00:00
15,129.7,2015-01-01 16:00:00
16,170.3,2015-01-01 17:00:00
17,144.4,2015-01-01 18:00:00
18,170.1,2015-01-01 19:00:00
19,209.9,2015-01-01 20:00:00
20,213.5,2015-01-01 21:00:00
21,198.6,2015-01-01 22:00:00
22,205.51,2015-01-01 23:00:00
23,251.41,2015-01-02 00:00:00
24,,2015-01-02 01:00:00
25,,2015-01-02 02:00:00
26,,2015-01-02 03:00:00
27,118.8,2015-01-02 04:00:00
28,108.2,2015-01-02 05:00:00
29,103.5,2015-01-02 06:00:00
30,90.9,2015-01-02 07:00:00
31,78.6,2015-01-02 08:00:00
32,73.9,2015-01-02 09:00:00
33,81.6,2015-01-02 10:00:00
34,94.5,2015-01-02 11:00:00
35,106.3,2015-01-02 12:00:00
36,85.0,2015-01-02 13:00:00
37,104.2,2015-01-02 14:00:00
38,105.8,2015-01-02 15:00:00
39,92.2,2015-01-02 16:00:00
40,108.3,2015-01-02 17:00:00
41,95.8,2015-01-02 18:00:00
42,,2015-01-02 19:00:00
43,,2015-01-02 20:00:00
44,,2015-01-02 21:00:00
45,72.8,2015-01-02 22:00:00
46,74.2,2015-01-02 23:00:00
47,87.0,2015-01-03 00:00:00
48,67.0,2015-01-03 01:00:00
49,70.7,2015-01-03 02:00:00
50,61.8,2015-01-03 03:00:00
51,57.1,2015-01-03 04:00:00
52,64.1,2015-01-03 05:00:00
53,66.0,2015-01-03 06:00:00
54,53.4,2015-01-03 07:00:00
55,57.9,2015-01-03 08:00:00
56,48.6,2015-01-03 09:00:00
57,60.9,2015-01-03 10:00:00
58,92.2,2015-01-03 11:00:00
59,76.4,2015-01-03 12:00:00
60,88.7,2015-01-03 13:00:00
61,78.9,2015-01-03 14:00:00
62,80.7,2015-01-03 15:00:00
63,87.2,2015-01-03 16:00:00
64,85.0,2015-01-03 17:00:00
65,61.2,2015-01-03 18:00:00
66,77.1,2015-01-03 19:00:00
67,77.3,2015-01-03 20:00:00
68,87.7,2015-01-03 21:00:00
69,60.2,2015-01-03 22:00:00
70,67.6,2015-01-03 23:00:00
71,71.1,2015-01-04 00:00:00
72,73.9,2015-01-04 01:00:00
73,57.7,2015-01-04 02:00:00
74,55.2,2015-01-04 03:00:00
75,42.8,2015-01-04 04:00:00
76,46.7,2015-01-04 05:00:00
77,48.4,2015-01-04 06:00:00
78,45.4,2015-01-04 07:00:00
79,,2015-01-04 08:00:00
80,,2015-01-04 09:00:00
81,62.6,2015-01-04 10:00:00
82,46.9,2015-01-04 11:00:00
83,41.2,2015-01-04 12:00:00
84,42.1,2015-01-04 13:00:00
85,39.5,2015-01-04 14:00:00
86,51.9,2015-01-04 15:00:00
87,49.1,2015-01-04 16:00:00
88,86.2,2015-01-04 17:00:00
89,104.5,2015-01-04 18:00:00
90,131.3,2015-01-04 19:00:00
91,74.1,2015-01-04 20:00:00
92,77.0,2015-01-04 21:00:00
93,61.6,2015-01-04 22:00:00
94,44.9,2015-01-04 23:00:00
95,45.7,2015-01-05 00:00:00
96,34.0,2015-01-05 01:00:00
97,29.9,2015-01-05 02:00:00
98,33.0,2015-01-05 03:00:00
99,16.8,2015-01-05 04:00:00
100,17.4,2015-01-05 05:00:00
101,27.3,2015-01-05 06:00:00
102,43.3,2015-01-05 07:00:00
103,50.3,2015-01-05 08:00:00
104,60.3,2015-01-05 09:00:00
105,68.1,2015-01-05 10:00:00
106,64.4,2015-01-05 11:00:00
107,62.9,2015-01-05 12:00:00
108,51.8,2015-01-05 13:00:00
109,37.8,2015-01-05 14:00:00
110,41.5,2015-01-05 15:00:00
111,53.3,2015-01-05 16:00:00
112,77.3,2015-01-05 17:00:00
113,101.9,2015-01-05 18:00:00
114,108.3,2015-01-05 19:00:00
115,105.1,2015-01-05 20:00:00
116,95.7,2015-01-05 21:00:00
117,82.6,2015-01-05 22:00:00
118,72.6,2015-01-05 23:00:00
119,68.3,2015-01-06 00:00:00
120,60.8,2015-01-06 01:00:00
121,45.3,2015-01-06 02:00:00
122,40.6,2015-01-06 03:00:00
123,49.2,2015-01-06 04:00:00
124,40.8,2015-01-06 05:00:00
125,24.3,2015-01-06 06:00:00
126,37.1,2015-01-06 07:00:00
127,57.2,2015-01-06 08:00:00
128,51.0,2015-01-06 09:00:00
129,58.4,2015-01-06 10:00:00
130,52.5,2015-01-06 11:00:00
131,,2015-01-06 12:00:00
132,50.6,2015-01-06 13:00:00
133,52.3,2015-01-06 14:00:00
134,49.7,2015-01-06 15:00:00
135,70.1,2015-01-06 16:00:00
136,103.9,2015-01-06 17:00:00
137,89.7,2015-01-06 18:00:00
138,94.0,2015-01-06 19:00:00
139,82.4,2015-01-06 20:00:00
140,99.4,2015-01-06 21:00:00
141,114.2,2015-01-06 22:00:00
142,74.4,2015-01-06 23:00:00
143,75.5,2015-01-07 00:00:00
0,77.5,2015-01-07 01:00:00
1,74.2,2015-01-07 02:00:00
2,64.9,2015-01-07 03:00:00
3,57.4,2015-01-07 04:00:00
4,57.0,2015-01-07 05:00:00
5,72.7,2015-01-07 06:00:00
6,68.4,2015-01-07 07:00:00
7,94.4,2015-01-07 08:00:00
8,86.4,2015-01-07 09:00:00
9,82.8,2015-01-07 10:00:00
10,62.9,2015-01-07 11:00:00
11,54.5,2015-01-07 12:00:00
12,44.0,2015-01-07 13:00:00
13,55.4,2015-01-07 14:00:00
14,,2015-01-07 15:00:00
15,,2015-01-07 16:00:00
16,82.5,2015-01-07 17:00:00
17,84.2,2015-01-07 18:00:00
18,92.2,2015-01-07 19:00:00
19,105.1,2015-01-07 20:00:00
20,92.7,2015-01-07 21:00:00
21,81.4,2015-01-07 22:00:00
22,58.7,2015-01-07 23:00:00
23,67.5,2015-01-08 00:00:00
24,72.2,2015-01-08 01:00:00
25,76.4,2015-01-08 02:00:00
26,54.6,2015-01-08 03:00:00
27,42.9,2015-01-08 04:00:00
28,39.2,2015-01-08 05:00:00
29,54.5,2015-01-08 06:00:00
30,56.4,2015-01-08 07:00:00
31,61.4,2015-01-08 08:00:00
32,51.7,2015-01-08 09:00:00
33,62.9,2015-01-08 10:00:00
34,83.7,2015-01-08 11:00:00
35,89.2,2015-01-08 12:00:00
36,85.2,2015-01-08 13:00:00
37,98.4,2015-01-08 14:00:00
38,95.3,2015-01-08 15:00:00
39,100.7,2015-01-08 16:00:00
40,81.1,2015-01-08 17:00:00
41,93.0,2015-01-08 18:00:00
42,89.3,2015-01-08 19:00:00
43,74.8,2015-01-08 20:00:00
44,78.1,2015-01-08 21:00:00
45,79.1,2015-01-08 22:00:00
46,72.5,2015-01-08 23:00:00
47,78.6,2015-01-09 00:00:00
48,72.7,2015-01-09 01:00:00
49,58.6,2015-01-09 02:00:00
50,41.5,2015-01-09 03:00:00
51,20.4,2015-01-09 04:00:00
52,25.4,2015-01-09 05:00:00
53,29.1,2015-01-09 06:00:00
54,39.0,2015-01-09 07:00:00
55,56.5,2015-01-09 08:00:00
56,52.5,2015-01-09 09:00:00
57,56.8,2015-01-09 10:00:00
58,77.2,2015-01-09 11:00:00
