,NO2,Date
0,53.3,2015-01-01 01:00:00
1,50.8,2015-01-01 02:00:00
2,63.5,2015-01-01 03:00:00
3,,2015-01-01 04:00:00
4,,2015-01-01 05:00:00
5,,2015-01-01 06:00:00
6,57.5,2015-01-01 07:00:00
7,70.7,2015-01-01 08:00:00
8,118.0,2015-01-01 09:00:00
9,150.5,2015-01-01 10:00:00
10,141.7,2015-01-01 11:00:00
11,145.5,2015-01-01 12:00:00
12,125.5,2015-01-01 13:00:00
13,153.3,2015-01-01 14:00:00
14,203.8,2015-01-01 15:00:00
15,133.2,2015-01-01 16:00:00
16,156.5,2015-01-01 17:00:00
17,157.5,2015-01-01 18:00:00
18,,2015-01-01 19:00:00
19,,2015-01-01 20:00:00
20,140.0,2015-01-01 21:00:00
21,113.1,2015-01-01 22:00:00
22,85.6,2015-01-01 23:00:00
23,61.3,2015-01-02 00:00:00
24,105.2,2015-01-02 01:00:00
25,107.6,2015-01-02 02:00:00
26,,2015-01-02 03:00:00
27,,2015-01-02 04:00:00
28,67.3,2015-01-02 05:00:00
29,53.6,2015-01-02 06:00:00
30,54.2,2015-01-02 07:00:00
31,54.7,2015-01-02 08:00:00
32,60.1,2015-01-02 09:00:00
33,,2015-01-02 10:00:00
34,,2015-01-02 11:00:00
35,,2015-01-02 12:00:00
36,68.2,2015-01-02 13:00:00
37,66.4,2015-01-02 14:00:00
38,64.1,2015-01-02 15:00:00
39,62.4,2015-01-02 16:00:00
40,80.4,2015-01-02 17:00:00
41,80.5,2015-01-02 18:00:00
42,,2015-01-02 19:00:00
43,,2015-01-02 20:00:00
44,58.8,2015-01-02 21:00:00
45,59.1,2015-01-02 22:00:00
46,48.9,2015-01-02 23:00:00
47,50.7,2015-01-03 00:00:00
48,,2015-01-03 01:00:00
49,58.0,2015-01-03 02:00:00
50,,2015-01-03 03:00:00
51,,2015-01-03 04:00:00
52,46.4,2015-01-03 05:00:00
53,43.6,2015-01-03 06:00:00
54,41.2,2015-01-03 07:00:00
55,40.6,2015-01-03 08:00:00
56,42.9,2015-01-03 09:00:00
57,51.1,2015-01-03 10:00:00
58,50.8,2015-01-03 11:00:00
59,62.2,2015-01-03 12:00:00
60,57.8,2015-01-03 13:00:00
61,63.6,2015-01-03 14:00:00
62,83.0,2015-01-03 15:00:00
63,66.4,2015-01-03 16:00:00
64,67.5,2015-01-03 17:00:00
65,72.2,2015-01-03 18:00:00
66,69.0,2015-01-03 19:00:00
67,,2015-01-03 20:00:00
68,39.5,2015-01-03 21:00:00
69,34.4,2015-01-03 22:00:00
70,33.5,2015-01-03 23:00:00
71,30.0,2015-01-04 00:00:00
72,43.1,2015-01-04 01:00:00
73,41.1,2015-01-04 02:00:00
74,43.5,2015-01-04 03:00:00
75,47.0,2015-01-04 04:00:00
76,31.3,2015-01-04 05:00:00
77,26.0,2015-01-04 06:00:00
78,30.2,2015-01-04 07:00:00
79,38.9,2015-01-04 08:00:00
80,41.4,2015-01-04 09:00:00
81,33.3,2015-01-04 10:00:00
82,38.4,2015-01-04 11:00:00
83,39.0,2015-01-04 12:00:00
84,25.6,2015-01-04 13:00:00
85,27.8,2015-01-04 14:00:00
86,15.4,2015-01-04 15:00:00
87,21.9,2015-01-04 16:00:00
88,40.1,2015-01-04 17:00:00
89,78.9,2015-01-04 18:00:00
90,94.9,2015-01-04 19:00:00
91,90.1,2015-01-04 20:00:00
92,67.2,2015-01-04 21:00:00
93,64.5,2015-01-04 22:00:00
94,46.6,2015-01-04 23:00:00
95,33.9,2015-01-05 00:00:00
96,,2015-01-05 01:00:00
97,,2015-01-05 02:00:00
98,,2015-01-05 03:00:00
99,,2015-01-05 04:00:00
100,31.1,2015-01-05 05:00:00
101,30.2,2015-01-05 06:00:00
102,41.0,2015-01-05 07:00:00
103,47.8,2015-01-05 08:00:00
104,,2015-01-05 09:00:00
105,,2015-01-05 10:00:00
106,,2015-01-05 11:00:00
107,36.6,2015-01-05 12:00:00
108,34.9,2015-01-05 13:00:00
109,27.4,2015-01-05 14:00:00
110,24.2,2015-01-05 15:00:00
111,28.6,2015-01-05 16:00:00
112,45.8,2015-01-05 17:00:00
113,,2015-01-05 18:00:00
114,,2015-01-05 19:00:00
115,,2015-01-05 20:00:00
116,,2015-01-05 21:00:00
117,,2015-01-05 22:00:00
118,,2015-01-05 23:00:00
119,,2015-01-06 00:00:00
120,,2015-01-06 01:00:00
121,,2015-01-06 02:00:00
122,,2015-01-06 03:00:00
123,,2015-01-06 04:00:00
124,,2015-01-06 05:00:00
125,,2015-01-06 06:00:00
126,,2015-01-06 07:00:00
127,,2015-01-06 08:00:00
128,,2015-01-06 09:00:00
129,,2015-01-06 10:00:00
130,,2015-01-06 11:00:00
131,,2015-01-06 12:00:00
132,54.1,2015-01-06 13:00:00
133,55.8,2015-01-06 14:00:00
134,48.3,2015-01-06 15:00:00
135,47.5,2015-01-06 16:00:00
136,71.7,2015-01-06 17:00:00
137,93.2,2015-01-06 18:00:00
138,87.0,2015-01-06 19:00:00
139,86.0,2015-01-06 20:00:00
140,69.1,2015-01-06 21:00:00
141,75.6,2015-01-06 22:00:00
142,66.0,2015-01-06 23:00:00
143,55.1,2015-01-07 00:00:00
0,,2015-01-07 01:00:00
1,,2015-01-07 02:00:00
2,,2015-01-07 03:00:00
3,,2015-01-07 04:00:00
4,36.0,2015-01-07 05:00:00
5,33.9,2015-01-07 06:00:00
6,,2015-01-07 07:00:00
7,,2015-01-07 08:00:00
8,,2015-01-07 09:00:00
9,,2015-01-07 10:00:00
10,96.7,2015-01-07 11:00:00
11,38.4,2015-01-07 12:00:00
12,47.2,2015-01-07 13:00:00
13,45.5,2015-01-07 14:00:00
14,41.8,2015-01-07 15:00:00
15,46.7,2015-01-07 16:00:00
16,55.7,2015-01-07 17:00:00
17,71.8,2015-01-07 18:00:00
18,67.9,2015-01-07 19:00:00
19,75.5,2015-01-07 20:00:00
20,62.7,2015-01-07 21:00:00
21,57.8,2015-01-07 22:00:00
22,59.6,2015-01-07 23:00:00
23,51.9,2015-01-08 00:00:00
24,50.4,2015-01-08 01:00:00
25,48.5,2015-01-08 02:00:00
26,51.6,2015-01-08 03:00:00
27,51.2,2015-01-08 04:00:00
28,42.5,2015-01-08 05:00:00
29,48.6,2015-01-08 06:00:00
30,49.3,2015-01-08 07:00:00
31,49.3,2015-01-08 08:00:00
32,55.9,2015-01-08 09:00:00
33,57.3,2015-01-08 10:00:00
34,62.7,2015-01-08 11:00:00
35,67.3,2015-01-08 12:00:00
