,O3,Date
0,10.5,2015-01-01 01:00:00
1,14.8,2015-01-01 02:00:00
2,14.1,2015-01-01 03:00:00
3,13.7,2015-01-01 04:00:00
4,1.1,2015-01-01 05:00:00
5,0,2015-01-01 06:00:00
6,2.7,2015-01-01 07:00:00
7,0,2015-01-01 08:00:00
8,6.5,2015-01-01 09:00:00
9,25.5,2015-01-01 10:00:00
10,24.8,2015-01-01 11:00:00
11,14.7,2015-01-01 12:00:00
12,3.4,2015-01-01 13:00:00
13,0.2,2015-01-01 14:00:00
14,33.6,2015-01-01 15:00:00
15,17.7,2015-01-01 16:00:00
16,3.0,2015-01-01 17:00:00
17,9.6,2015-01-01 18:00:00
18,21.5,2015-01-01 19:00:00
19,22.3,2015-01-01 20:00:00
20,15.2,2015-01-01 21:00:00
21,11.5,2015-01-01 22:00:00
22,9.5,2015-01-01 23:00:00
23,5.7,2015-01-02 00:00:00
24,11.5,2015-01-02 01:00:00
25,12.5,2015-01-02 02:00:00
26,13.7,2015-01-02 03:00:00
27,34.1,2015-01-02 04:00:00
28,24.2,2015-01-02 05:00:00
29,14.4,2015-01-02 06:00:00
30,3.3,2015-01-02 07:00:00
31,1.8,2015-01-02 08:00:00
32,9.3,2015-01-02 09:00:00
33,12.0,2015-01-02 10:00:00
34,15.6,2015-01-02 11:00:00
35,13.7,2015-01-02 12:00:00
36,8.9,2015-01-02 13:00:00
37,6.9,2015-01-02 14:00:00
38,3.7,2015-01-02 15:00:00
39,1.5,2015-01-02 16:00:00
40,11.0,2015-01-02 17:00:00
41,17.3,2015-01-02 18:00:00
42,13.2,2015-01-02 19:00:00
43,14.7,2015-01-02 20:00:00
44,20.6,2015-01-02 21:00:00
45,12.8,2015-01-02 22:00:00
46,4.7,2015-01-02 23:00:00
47,2.7,2015-01-03 00:00:00
48,,2015-01-03 01:00:00
49,12.5,2015-01-03 02:00:00
50,13.2,2015-01-03 03:00:00
51,14.7,2015-01-03 04:00:00
52,9.7,2015-01-03 05:00:00
53,5.7,2015-01-03 06:00:00
54,0,2015-01-03 07:00:00
55,0.2,2015-01-03 08:00:00
56,9.6,2015-01-03 09:00:00
57,15.4,2015-01-03 10:00:00
58,8.0,2015-01-03 11:00:00
59,0,2015-01-03 12:00:00
60,0,2015-01-03 13:00:00
61,9.8,2015-01-03 14:00:00
62,14.5,2015-01-03 15:00:00
63,13.4,2015-01-03 16:00:00
64,12.0,2015-01-03 17:00:00
65,17.3,2015-01-03 18:00:00
66,17.5,2015-01-03 19:00:00
67,19.2,2015-01-03 20:00:00
68,4.6,2015-01-03 21:00:00
69,0,2015-01-03 22:00:00
70,0,2015-01-03 23:00:00
71,,2015-01-04 00:00:00
72,0,2015-01-04 01:00:00
73,12.9,2015-01-04 02:00:00
74,15.5,2015-01-04 03:00:00
75,17.1,2015-01-04 04:00:00
76,2.2,2015-01-04 05:00:00
77,0,2015-01-04 06:00:00
78,0,2015-01-04 07:00:00
79,,2015-01-04 08:00:00
80,2.0,2015-01-04 09:00:00
81,11.9,2015-01-04 10:00:00
82,16.3,2015-01-04 11:00:00
83,23.8,2015-01-04 12:00:00
84,8.3,2015-01-04 13:00:00
85,0,2015-01-04 14:00:00
86,0,2015-01-04 15:00:00
87,23.3,2015-01-04 16:00:00
88,30.8,2015-01-04 17:00:00
89,18.3,2015-01-04 18:00:00
90,17.6,2015-01-04 19:00:00
91,16.8,2015-01-04 20:00:00
92,17.8,2015-01-04 21:00:00
93,15.9,2015-01-04 22:00:00
94,19.3,2015-01-04 23:00:00
95,18.8,2015-01-05 00:00:00
96,21.2,2015-01-05 01:00:00
97,21.1,2015-01-05 02:00:00
98,21.0,2015-01-05 03:00:00
99,21.8,2015-01-05 04:00:00
100,19.1,2015-01-05 05:00:00
101,21.8,2015-01-05 06:00:00
102,18.7,2015-01-05 07:00:00
103,16.5,2015-01-05 08:00:00
104,22.9,2015-01-05 09:00:00
105,32.6,2015-01-05 10:00:00
106,40.4,2015-01-05 11:00:00
107,0,2015-01-05 12:00:00
108,52.2,2015-01-05 13:00:00
109,64.0,2015-01-05 14:00:00
110,73.8,2015-01-05 15:00:00
111,75.2,2015-01-05 16:00:00
112,57.9,2015-01-05 17:00:00
113,36.2,2015-01-05 18:00:00
114,23.3,2015-01-05 19:00:00
115,22.1,2015-01-05 20:00:00
116,21.9,2015-01-05 21:00:00
117,21.4,2015-01-05 22:00:00
118,21.2,2015-01-05 23:00:00
119,17.6,2015-01-06 00:00:00
120,25.1,2015-01-06 01:00:00
121,17.7,2015-01-06 02:00:00
122,17.1,2015-01-06 03:00:00
123,18.5,2015-01-06 04:00:00
124,14.4,2015-01-06 05:00:00
125,16.7,2015-01-06 06:00:00
126,15.1,2015-01-06 07:00:00
127,17.9,2015-01-06 08:00:00
128,24.8,2015-01-06 09:00:00
129,21.1,2015-01-06 10:00:00
130,,2015-01-06 11:00:00
131,,2015-01-06 12:00:00
132,28.3,2015-01-06 13:00:00
133,24.8,2015-01-06 14:00:00
134,27.7,2015-01-06 15:00:00
135,48.5,2015-01-06 16:00:00
136,34.6,2015-01-06 17:00:00
137,15.9,2015-01-06 18:00:00
138,17.8,2015-01-06 19:00:00
139,18.1,2015-01-06 20:00:00
140,14.4,2015-01-06 21:00:00
141,16.0,2015-01-06 22:00:00
142,13.6,2015-01-06 23:00:00
143,15.5,2015-01-07 00:00:00
0,15.6,2015-01-07 01:00:00
1,16.6,2015-01-07 02:00:00
2,16.5,2015-01-07 03:00:00
3,16.1,2015-01-07 04:00:00
4,13.7,2015-01-07 05:00:00
5,14.5,2015-01-07 06:00:00
6,,2015-01-07 07:00:00
7,,2015-01-07 08:00:00
8,,2015-01-07 09:00:00
9,,2015-01-07 10:00:00
10,3.5,2015-01-07 11:00:00
11,4.6,2015-01-07 12:00:00
12,7.0,2015-01-07 13:00:00
13,19.3,2015-01-07 14:00:00
14,22.3,2015-01-07 15:00:00
15,24.3,2015-01-07 16:00:00
16,16.1,2015-01-07 17:00:00
17,8.1,2015-01-07 18:00:00
18,10.8,2015-01-07 19:00:00
19,7.1,2015-01-07 20:00:00
20,6.4,2015-01-07 21:00:00
21,7.5,2015-01-07 22:00:00
22,7.0,2015-01-07 23:00:00
23,6.0,2015-01-08 00:00:00
24,8.4,2015-01-08 01:00:00
25,10.6,2015-01-08 02:00:00
26,12.8,2015-01-08 03:00:00
27,12.6,2015-01-08 04:00:00
28,8.6,2015-01-08 05:00:00
29,9.9,2015-01-08 06:00:00
30,8.6,2015-01-08 07:00:00
31,12.8,2015-01-08 08:00:00
32,10.6,2015-01-08 09:00:00
33,11.0,2015-01-08 10:00:00
34,12.2,2015-01-08 11:00:00
35,10.7,2015-01-08 12:00:00
36,6.4,2015-01-08 13:00:00
37,9.0,2015-01-08 14:00:00
38,0,2015-01-08 15:00:00
39,5.1,2015-01-08 16:00:00
40,6.1,2015-01-08 17:00:00
41,6.5,2015-01-08 18:00:00
42,9.2,2015-01-08 19:00:00
43,10.2,2015-01-08 20:00:00
44,8.9,2015-01-08 21:00:00
45,9.6,2015-01-08 22:00:00
46,8.7,2015-01-08 23:00:00
47,8.0,2015-01-09 00:00:00
48,9.5,2015-01-09 01:00:00
49,10.1,2015-01-09 02:00:00
50,11.2,2015-01-09 03:00:00
51,10.4,2015-01-09 04:00:00
52,8.9,2015-01-09 05:00:00
53,10.2,2015-01-09 06:00:00
54,8.1,2015-01-09 07:00:00
55,8.0,2015-01-09 08:00:00
56,11.4,2015-01-09 09:00:00
57,10.8,2015-01-09 10:00:00
58,7.8,2015-01-09 11:00:00
59,11.6,2015-01-09 12:00:00
60,9.3,2015-01-09 13:00:00
61,0,2015-01-09 14:00:00
62,7.1,2015-01-09 15:00:00
63,14.6,2015-01-09 16:00:00
64,15.0,2015-01-09 17:00:00
65,6.6,2015-01-09 18:00:00
66,7.8,2015-01-09 19:00:00
67,11.6,2015-01-09 20:00:00
68,7.6,2015-01-09 21:00:00
69,7.3,2015-01-09 22:00:00
70,8.8,2015-01-09 23:00:00
71,9.3,2015-01-10 00:00:00
72,11.0,2015-01-10 01:00:00
73,12.7,2015-01-10 02:00:00
74,11.8,2015-01-10 03:00:00
75,10.2,2015-01-10 04:00:00
76,10.7,2015-01-10 05:00:00
77,10.4,2015-01-10 06:00:00
78,11.3,2015-01-10 07:00:00
79,10.4,2015-01-10 08:00:00
80,14.3,2015-01-10 09:00:00
81,13.0,2015-01-10 10:00:00
82,16.4,2015-01-10 11:00:00
83,28.8,2015-01-10 12:00:00
84,23.6,2015-01-10 13:00:00
85,7.4,2015-01-10 14:00:00
86,29.3,2015-01-10 15:00:00
87,,2015-01-10 16:00:00
88,23.4,2015-01-10 17:00:00
89,6.0,2015-01-10 18:00:00
90,7.8,2015-01-10 19:00:00
91,15.7,2015-01-10 20:00:00
92,9.7,2015-01-10 21:00:00
93,13.8,2015-01-10 22:00:00
94,13.1,2015-01-10 23:00:00
95,11.7,2015-01-11 00:00:00
96,14.7,2015-01-11 01:00:00
97,15.5,2015-01-11 02:00:00
98,15.7,2015-01-11 03:00:00
99,19.7,2015-01-11 04:00:00
