,SO2,Date
0,18.3,2015-01-01 01:00:00
1,16.6,2015-01-01 02:00:00
2,16.3,2015-01-01 03:00:00
3,11.4,2015-01-01 04:00:00
4,9.2,2015-01-01 05:00:00
5,,2015-01-01 06:00:00
6,12.0,2015-01-01 07:00:00
7,13.7,2015-01-01 08:00:00
8,18.3,2015-01-01 09:00:00
9,37.2,2015-01-01 10:00:00
10,51.2,2015-01-01 11:00:00
11,,2015-01-01 12:00:00
12,45.8,2015-01-01 13:00:00
13,33.7,2015-01-01 14:00:00
14,52.6,2015-01-01 15:00:00
15,34.9,2015-01-01 16:00:00
16,20.9,2015-01-01 17:00:00
17,,2015-01-01 18:00:00
18,17.2,2015-01-01 19:00:00
19,21.7,2015-01-01 20:00:00
20,20.0,2015-01-01 21:00:00
21,20.3,2015-01-01 22:00:00
22,18.0,2015-01-01 23:00:00
23,,2015-01-02 00:00:00
24,15.7,2015-01-02 01:00:00
25,16.3,2015-01-02 02:00:00
26,18.3,2015-01-02 03:00:00
27,14.6,2015-01-02 04:00:00
28,6.9,2015-01-02 05:00:00
29,,2015-01-02 06:00:00
30,9.2,2015-01-02 07:00:00
31,8.0,2015-01-02 08:00:00
32,10.3,2015-01-02 09:00:00
33,11.4,2015-01-02 10:00:00
34,12.0,2015-01-02 11:00:00
35,,2015-01-02 12:00:00
36,9.2,2015-01-02 13:00:00
37,7.4,2015-01-02 14:00:00
38,7.2,2015-01-02 15:00:00
39,8.3,2015-01-02 16:00:00
40,9.7,2015-01-02 17:00:00
41,,2015-01-02 18:00:00
42,10.0,2015-01-02 19:00:00
43,11.2,2015-01-02 20:00:00
44,9.2,2015-01-02 21:00:00
45,8.9,2015-01-02 22:00:00
46,9.2,2015-01-02 23:00:00
47,,2015-01-03 00:00:00
48,,2015-01-03 01:00:00
49,11.7,2015-01-03 02:00:00
50,13.7,2015-01-03 03:00:00
51,12.0,2015-01-03 04:00:00
52,10.9,2015-01-03 05:00:00
53,,2015-01-03 06:00:00
54,12.0,2015-01-03 07:00:00
55,11.7,2015-01-03 08:00:00
56,12.9,2015-01-03 09:00:00
57,15.7,2015-01-03 10:00:00
58,12.6,2015-01-03 11:00:00
59,,2015-01-03 12:00:00
60,12.0,2015-01-03 13:00:00
61,14.6,2015-01-03 14:00:00
62,13.7,2015-01-03 15:00:00
63,13.4,2015-01-03 16:00:00
64,13.7,2015-01-03 17:00:00
65,,2015-01-03 18:00:00
66,10.3,2015-01-03 19:00:00
67,11.2,2015-01-03 20:00:00
68,10.0,2015-01-03 21:00:00
69,11.2,2015-01-03 22:00:00
70,11.4,2015-01-03 23:00:00
71,,2015-01-04 00:00:00
72,15.7,2015-01-04 01:00:00
73,16.3,2015-01-04 02:00:00
74,14.0,2015-01-04 03:00:00
75,15.2,2015-01-04 04:00:00
76,11.7,2015-01-04 05:00:00
77,,2015-01-04 06:00:00
78,12.6,2015-01-04 07:00:00
79,12.3,2015-01-04 08:00:00
80,13.7,2015-01-04 09:00:00
81,15.2,2015-01-04 10:00:00
82,16.9,2015-01-04 11:00:00
83,,2015-01-04 12:00:00
84,7.7,2015-01-04 13:00:00
85,6.6,2015-01-04 14:00:00
86,5.7,2015-01-04 15:00:00
87,6.9,2015-01-04 16:00:00
88,9.2,2015-01-04 17:00:00
89,,2015-01-04 18:00:00
