Date,CO,NO1,NO2,O3,SO2
2013-01-06 16:00:00,34.0439453,111.229492,1.9,21.0732422,2.07330322
2013-01-06 17:00:00,31.6791992,103.942711,1.4,13.6207685,0.88997906
2013-01-06 18:00:00,58.875,88.2617188,3.3,36.5820313,1.94656372
2013-01-06 20:00:00,80.5983047,65.7955704,3.1,73.977211,3.25170898
2013-01-06 21:00:00,91.1240234,69.9052734,1.9,204.148438,3.91305542
2013-01-06 22:00:00,90.3291016,93.1347656,2.0,204.148438,7.82220459
2013-01-06 23:00:00,78.7174454,87.9121094,2.6,204.148438,5.50109863
2013-01-07 00:00:00,73.7695313,70.1279297,1.1,204.148438,5.69824219
2013-01-07 01:00:00,70.1601563,60.4492188,1.2,37.9838867,3.2517395
2013-01-07 02:00:00,61.6337891,60.7734375,1.0,18.4626865,4.30263281
2013-01-07 03:00:00,63.7802734,53.0732422,0.6,56.4308281,7.26269531
2013-01-07 04:00:00,45.3925781,51.7988281,0.8,31.6506348,0.91244507
2013-01-07 05:00:00,41.1147461,69.9150391,1.1,31.6506348,1.08218384
2013-01-07 06:00:00,24.8762207,34.8818359,1.1,31.6506348,0.0
2013-01-07 07:00:00,25.4248047,39.6503906,1.0,31.6506348,0.0
2013-01-07 08:00:00,31.6280918,52.4404297,1.7,31.6506348,2.99291992
2013-01-07 09:00:00,27.7174473,55.5834961,1.3,31.6506348,0.56958264
2013-01-07 10:00:00,33.9873047,63.4345703,1.8,17.4083252,0.76957703
2013-01-07 11:00:00,39.7905273,67.1907578,1.3,25.0916348,0.6053009
2013-01-07 12:00:00,31.4038086,87.1914063,1.5,20.4555664,0.54229355
2013-01-07 13:00:00,45.9726563,95.3684921,1.8,26.6396484,0.88002014
2013-01-07 14:00:00,36.4580078,110.679039,1.7,18.4174805,2.22189331
2013-01-07 15:00:00,30.3426113,120.705078,1.7,18.1451817,2.65667725
2013-01-07 16:00:00,37.105793,116.490234,1.5,19.3687344,5.01184082
2013-01-07 17:00:00,33.7363281,101.347656,1.6,17.1890869,2.13835144
2013-01-07 18:00:00,49.8805351,89.5182266,3.8,17.7994785,1.45001221
2013-01-07 19:00:00,69.9251328,76.6689453,2.2,19.6176758,4.00828028
2013-01-07 20:00:00,79.0117188,75.3964844,4.1,20.9637051,3.4552002
2013-01-07 21:00:00,84.1510391,68.5618515,3.4,23.034668,4.95308447
2013-01-07 22:00:00,84.0820313,65.8759766,4.5,43.7207031,2.72827148
2013-01-07 23:00:00,84.3886719,60.8388672,3.6,26.8595371,5.84527588
2013-01-08 00:00:00,96.7783203,62.0854492,2.3,45.5947266,6.47998047
2013-01-08 01:00:00,80.515625,52.1936836,1.4,42.0665703,7.20243311
2013-01-08 02:00:00,63.2617188,45.8520508,1.1,43.638916,2.96658325
2013-01-08 03:00:00,58.8238945,55.7387695,1.0,43.638916,1.90104675
2013-01-08 04:00:00,41.96875,60.394043,1.0,43.638916,9.92053223
2013-01-08 05:00:00,38.1904297,47.59375,1.2,43.638916,0.55486298
2013-01-08 06:00:00,34.0517578,58.168457,1.2,43.638916,0.95761108
2013-01-08 07:00:00,40.8330078,55.4702148,1.1,27.1079102,0.97052002
2013-01-08 08:00:00,42.1362305,50.3515625,3.2,22.4523926,0.0
2013-01-08 09:00:00,27.1806641,64.3427734,1.5,19.6724854,0.0
2013-01-08 10:00:00,27.6474609,67.1787109,1.7,29.6313477,0.0
2013-01-08 11:00:00,35.7429199,83.2158203,1.9,24.0480957,1.22959137
2013-01-08 12:00:00,23.3037109,100.224609,1.2,15.9147139,2.86493945
2013-01-08 13:00:00,27.7823887,111.50293,1.8,15.1088867,3.293396
2013-01-08 14:00:00,29.8127441,115.706383,1.2,14.5302734,17.8937168
2013-01-08 15:00:00,27.0454102,124.989586,1.2,14.9364014,7.01961279
2013-01-08 16:00:00,17.8757324,121.115883,0.7,18.1945801,3.4180603
2013-01-08 17:00:00,25.4213867,125.632164,0.8,15.2719727,2.28640747
2013-01-08 18:00:00,63.8222656,92.7626953,2.3,28.0286465,2.28785706
2013-01-08 19:00:00,98.3769531,81.6998672,5.1,22.5913086,3.64882398
2013-01-08 20:00:00,93.8183594,69.9326172,6.4,30.7451172,10.5302124
2013-01-08 21:00:00,97.2255859,60.6149101,4.9,23.4708652,8.61409473
2013-01-08 22:00:00,67.1595078,82.9052734,3.2,18.9887695,8.1697998
2013-01-08 23:00:00,87.5126953,59.8391914,3.0,56.8675117,5.2444458
2013-01-09 00:00:00,94.2135391,51.7192383,2.4,44.8710938,5.70011377
2013-01-09 01:00:00,87.8789063,60.2418633,1.3,49.2207031,9.70288086
2013-01-09 02:00:00,84.0677109,45.0856133,1.3,57.4731445,8.34118652
2013-01-09 03:00:00,76.8248672,60.6308594,0.9,33.4526367,8.5324707
2013-01-09 04:00:00,70.116539,54.3577461,0.8,30.3058262,10.3913574
2013-01-09 05:00:00,68.4059219,41.0351563,1.0,49.7133789,2.75533032
2013-01-09 06:00:00,65.9438477,58.6341133,1.4,58.5771484,3.57110596
2013-01-09 07:00:00,67.8398438,53.9235039,1.2,51.7854805,7.43933105
2013-01-09 08:00:00,50.3833008,44.8144531,2.6,28.529541,3.30844116
2013-01-09 09:00:00,58.6826172,55.4326172,2.4,30.3435059,5.95031738
2013-01-09 10:00:00,53.9887695,74.4648438,2.1,33.3621407,8.68322754
2013-01-09 11:00:00,43.8795586,85.4199219,3.7,23.3474121,5.1439209
2013-01-09 12:00:00,33.1320801,117.941406,1.8,16.8116055,8.28717041
2013-01-09 13:00:00,27.8686523,117.213867,1.1,16.7568359,10.5669355
2013-01-09 14:00:00,25.0463867,121.827477,0.9,11.3325605,15.0410156
2013-01-09 15:00:00,15.7165527,130.96875,1.3,17.5620117,4.74497461
2013-01-09 16:00:00,18.703207,129.341797,0.5,14.3514404,3.76522827
2013-01-09 17:00:00,29.0353184,126.352867,1.3,15.9977217,5.261271
2013-01-09 18:00:00,49.5719414,100.896484,2.9,23.0441895,3.99938965
2013-01-09 19:00:00,87.7333984,84.163414,2.5,21.9015293,13.0107422
2013-01-09 20:00:00,94.0683594,70.2890625,2.7,21.2697754,13.3859863
2013-01-09 21:00:00,97.9482422,71.789711,2.6,23.067709,14.2033691
2013-01-09 22:00:00,110.097008,60.4926758,2.5,58.1572266,14.3091631
2013-01-09 23:00:00,62.3950195,80.7864609,1.8,18.3829746,6.73760986
2013-01-10 00:00:00,65.1536484,79.6751328,1.2,18.192749,7.3090415
2013-01-10 01:00:00,36.0634766,86.2070313,0.8,14.614502,5.2880249
2013-01-10 02:00:00,39.8421211,76.7460938,0.7,18.9820957,7.9921875
2013-01-10 03:00:00,82.6542969,56.15625,0.7,37.1542969,12.4509277
2013-01-10 04:00:00,35.987957,65.8766251,0.6,14.0478516,6.44152832
2013-01-10 05:00:00,49.3020821,53.9555664,1.3,23.5959473,9.50016308
2013-01-10 06:00:00,46.2758789,62.1614571,1.3,15.5458174,9.79789257
2013-01-10 07:00:00,63.8339844,44.644043,1.5,32.3950195,7.13822412
2013-01-10 08:00:00,50.5473633,64.4088516,2.5,23.0587559,7.3772788
2013-01-10 09:00:00,58.0693359,70.3261719,2.5,28.2036133,9.88000488
2013-01-10 10:00:00,38.1616211,92.796875,1.5,20.6930332,7.36651611
2013-01-10 11:00:00,38.7757149,103.806641,2.2,17.8269043,8.94710255
2013-01-10 12:00:00,20.0576172,121.537758,1.1,9.64390087,8.38928223
2013-01-10 13:00:00,12.4307861,130.754562,0.8,9.8839922,4.73885107
2013-01-10 14:00:00,15.104167,129.578125,0.9,18.2385254,16.0858555
2013-01-10 15:00:00,31.3496094,114.359375,0.6,21.5068359,4.02893066
2013-01-10 16:00:00,14.8995771,125.522461,0.6,24.8220215,2.70599365
2013-01-10 17:00:00,40.6860352,118.811852,0.5,18.3544102,4.54855347
2013-01-10 18:00:00,42.0823555,110.905602,1.3,17.1777344,2.6450603
2013-01-10 19:00:00,76.3294296,84.3847656,4.8,21.5371094,8.20214844
2013-01-10 20:00:00,71.9936523,89.3261719,3.0,20.2612305,7.77376318
2013-01-10 21:00:00,92.5768204,76.7167969,2.6,21.2089844,11.5076904
2013-01-10 22:00:00,82.5097656,68.8932266,2.7,21.0930996,13.7370605
2013-01-10 23:00:00,72.0032578,63.1806641,2.0,22.2893066,10.3256426
2013-01-11 00:00:00,77.9462891,66.3675156,0.8,28.2928066,10.0646973
2013-01-11 01:00:00,64.8782578,70.0654297,0.5,21.7436523,7.26810694
2013-01-11 02:00:00,80.8188477,80.3489609,0.6,19.8538418,9.89001465
2013-01-11 03:00:00,71.2181015,67.9205704,0.6,22.6611328,12.2212725
